QUOTE_TRANSCRIPTION	Common Name	LAT	LNG	COMMENTS
Sugwas	Sugwas			Stretton Sugwas, a manor of Bishop of Hereford|not sure how to handle this--no surviving doc except this one, but it places RB at Sugwas on 1318.3.27, so I'll add a Given at tag for that...
Tame	Tame			Tamworth?
the chapter-house of the cathedral church of Hereford	the chapter-house of the cathedral church of Hereford	52.05684	-2.71482	
Tower of London	Tower of London			
ut proxime supra	ut proxime supra			that is, given at same place as docs above, i.e.|But neither this doc nor the one above it indicates WHERE, just when (Aug 3)...
ut supra	ut supra	51.21444	-0.80054	that is, at Farnham, like previous documents on this day
ut supra.	ut supra	51.21444	-0.80054	that is, at Farnham, like previous docs in this series
ut supra	ut supra	51.21444	-0.80054	Farnham (per above documents)
Westminster	Westminster	51.5	-0.11667	
Westminster	Westminster	51.5	-0.11667	
Westminster	Westminster	51.5	-0.11667	
Westminster	Westminster	51.5	-0.11667	
Westm’	Westminster	51.5	-0.11667	Westminster
Withington	Withington	51.832345	-1.956272	
Withington	Withington	51.832345	-1.956272	
Withington	Withington	51.832345	-1.956272	
Worcester	Worcester	52.18935	-2.22001	
Wyngeham	Wyngeham			
Wyngeham	Wyngeham			
Hereford	Hereford	52.05684	-2.71482	
Bos	Bosebury			Bosbury (a favorite manor of the Bishop of Hereford)
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
London	London	42.98339	-81.23304	
Bosebur	Bosebury			
Bosebur	Bosebury			
Lanthon	Lanton			
Hereford	Hereford	52.05684	-2.71482	
Homptone	Homptone			
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Ostrem	Ostrem			
Morgan	Morgan	41.03606	-111.67688	
Thame	Thame	51.7484	-0.97624	
Evesham	Evesham	52.09237	-1.94887	
Heiebur' near London	Highbury, near London	51.50853	-0.12574	Highbury, near London (now, a neighborhood in North London)
the chapter of the greater church of Hereford	the chapter of the greater church of Hereford	52.05684	-2.71482	
bishop of Hereford	bishop of Hereford			
Hereford	Hereford	52.05684	-2.71482	
London	London	51.50853	-0.12574	
Bordeaux	Bordeaux			
Avignon	Avignon			
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
London	London	42.98339	-81.23304	
Arleye	Arleye Kings			Areley Kings, Worcestershire? (sp?)
Kermerdyn	Kermerdyn			
Bosebury	Bosebury			
Sweynes'	Sweynes			
Ostrem	Ostrem			
London	London	42.98339	-81.23304	
Gloucester	Gloucester	51.86568	-2.2431	
Menstr’ in island of Thanet	Menstr’ in island of Thanet			
Gloucester	Gloucester	51.86568	-2.2431	
Lincoln	Lincoln	53.22683	-0.53792	
Stanedichss	Stanedichss			
London	London	51.50853	-0.12574	
Gloucester	Gloucester	51.86568	-2.2431	
Gloucester	Gloucester	51.86568	-2.2431	
Turford	Turford			
Ledbury	Ledbury	52.03639	-2.42635	
Westuinster	Westuinster	51.5	-0.11667	
Hereford	Hereford	52.05684	-2.71482	
Worcester	Worcester	52.18935	-2.22001	
Sweynes’	Sweynes			
London	London	42.98339	-81.23304	
chapter-house at Hereford	chapter-house at Hereford			
London	London	42.98339	-81.23304	
Dudelebur	Dudelebury			
Westminster	Westminster	51.5	-0.11667	
chapter-house at Hereford	chapter-house at Hereford			
Ledbury	Ledbury	52.03639	-2.42635	
Westminster	Westminster	51.5	-0.11667	
Westminster	Westminster	51.5	-0.11667	
Bosebur	Bosebury			Bosbury
Thonderlee	Thonderlee			
Hereford	Hereford	52.05684	-2.71482	
Bosebur	Bosebury			Bosbury, a manor of the Bishop of Hereford
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Bromfeld	Bromfeld			
Bosebur	Bosebury			Bosbury, manor of the Bishop of Hereford
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Gloucester	Gloucester	51.86568	-2.2431	
Chirebury	Chirebury			Chirbury is a village in west Shropshire
Bosebur	Bosebury			Bosbury, a manor of the bishop of Hereford
Langele	Langele			
Given in the chapter-house at Hereford	Given in the chapter-house at Hereford			
Given in the chapter-house at Hereford	Given in the chapter-house at Hereford			
the chapter-house at Hereford	the chapter-house at Hereford			
Hereford	Hereford	52.05684	-2.71482	
London	London	51.50853	-0.12574	
London	London	51.50853	-0.12574	
Hereford	Hereford	52.05684	-2.71482	
London	London	51.50853	-0.12574	
Henouere	Henouere			
Henouere	Henouere			
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
the abbey of Wygemore	the abbey of Wygemore			
Hereford	Hereford	52.05684	-2.71482	
London	London	51.50853	-0.12574	
Hereford	Hereford	52.05684	-2.71482	
London	London	42.98339	-81.23304	
London	London	51.50853	-0.12574	
London	London	51.50853	-0.12574	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
London	London	42.98339	-81.23304	
Hereford	Hereford	52.05684	-2.71482	
Hereford	Hereford	52.05684	-2.71482	
