UUID	Document Number	Doc_Year	QUOTE_TRANSCRIPTION	Common Name	ANCHOR	TYPE	URI	VOCAB_LABEL	LAT	LNG	Place_Type	Person_Gender	TAGS	Person_Named by	Role	Person_Job	COMMENTS
4bddbafd-1384-4c4c-b6e9-4e565ce1b895	HCM 90	1317	Hereford	Hereford	char-offset:399	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
bec76763-871b-45d9-8a7f-66be9f368c4d	HCM 946	1305	Hereford	Hereford	char-offset:486	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Given at		Given at		
8ba4d6c3-75b5-4010-a988-9b9c0b425b92	HCM 946	1305	Hereford	Hereford	char-offset:200	PLACE	http://sws.geonames.org/2647074	Hereford	52.05684	-2.71482			Nominative		Nominative		
6bef0366-bb91-4bcd-afec-95d1b78b5ab2	HCM 559	1315/6	Heye	Heye	char-offset:433	PLACE							Nominative		Nominative		
115ef844-c671-429b-9bf4-943824de880e	HCM 1368	1317	Heiebur' near London	Highbury, near London	char-offset:1542	PLACE	http://sws.geonames.org/2643743	London	51.50853	-0.12574			Given at		Given at		Highbury, near London (now, a neighborhood in North London)
743ea7a1-472c-46a6-a0f0-7e17e628a33e	HCM 196	1316	high street	high street	char-offset:291	PLACE	http://mapoflondon.uvic.ca/ALDG4.htm	Aldgate Street			Street		Street				
1954b2f3-c396-457d-bb82-442d481a06dc	HCM 746	circa 1310	high street near the church of St. Peter	high street near the church of St. Peter	char-offset:302	PLACE					Street		Street				
de3b96e6-b8ba-40f9-a718-70c5e42883cd	HCM 186	1309/10	highway	highway	char-offset:406	PLACE	http://geo-kima.org/place/1914	Alaska Highway			Street		Street				
b65c570b-ec20-41db-bb27-4a65bef9b4d4	HCM 593	1307/8	Ho'tone	Ho'tone	char-offset:357	PLACE							Nominative		Nominative		
084b88b4-baa9-48dd-bec4-2f287c5217e4	HCM 1264	1306	Hoggesshawe	Hoggesshawe	char-offset:372	PLACE							Nominative		Nominative		
437350b0-29b8-44d2-9232-00f3a4b770fe	HCM 1265	1306	Hoggesshawe,	Hoggesshawe	char-offset:441	PLACE							Nominative		Nominative		
bd5b19c9-4a22-4d07-bc93-9144f117f882	HCM 1281	1306	Hoggesshawe	Hoggesshawe	char-offset:376	PLACE							Nominative		Nominative		
67e47ab6-e44b-423c-ba5c-b565a1c57ca3	HCM 559	1315/6	Holeford	Holeford	char-offset:628	PLACE							Nominative		Nominative		
72d195c2-4112-4b7c-a384-bc38d3a703b8	HCM 1247	1315	Homptone	Homptone	char-offset:450	PLACE							Given at		Given at		
18ba66d3-799e-486c-907e-021dff9f20d1	HCM 1247	1315	Homptone	Homptone	char-offset:233	PLACE					Landmark		Landmark				
cce947a1-3282-479d-820d-1aec56619643	HCM 1247	1315	Homptone	Homptone	char-offset:120	PLACE							Nominative		Nominative		
ef2fa2ed-4fbd-437a-95b3-1f7b8f9741ff	HCM 1975	1311	Hompton	Homptone	char-offset:219	PLACE							Nominative		Nominative		
b993874d-2bef-4743-bbff-3457e3dcbc5b	HCM 174	1312	Hope	Hope	char-offset:498	PLACE	http://sws.geonames.org/5976783	Hope	49.38299	-121.44144			Nominative		Nominative		
0cf61566-bda2-4b41-a718-e98482fa8679	HCM 1658a	1315/6	hospital of St. Catherine	hospital of St. Catherine	char-offset:168	PLACE					Building		Building				
91e210b0-5809-4675-8449-1c5f601ab97c	HCM 2880	1317	houses	houses	char-offset:220	PLACE							Property				
eec8090f-ac6f-4ae9-8ff4-4def845970ae	HCM 1768	1314	Howel vab	Howel vab	char-offset:175	PERSON							Principal				
c95baa6d-96a3-4549-b560-c2acda4c5b70	HCM 1485	circa 1314	Hugh Bade	Hugh Bade	char-offset:46	PERSON							Principal				
aeee264c-645c-477a-a8fa-03ffd112af88	HCM 755	1317	Hugh called le Schipward	Hugh called le Schipward	char-offset:1414	PERSON							Scribe		Witness		
b8c87725-248c-4c9b-8c2e-86c498ccd08e	HCM 1417	1305	Hugh de Breusa	Hugh de Breusa	char-offset:459	PERSON							Witness		Witness	penitentiary of the church of Hereford	
e68a86a6-c34c-4961-b190-a382a9082d21	HCM 469	1305	Hugh de Breuse	Hugh de Breusa	char-offset:87	PERSON							Principal				
fac7fb54-6ff8-4d0e-b172-e9eb5f964d9b	HCM 2093	1317/8	Hugh de Breynton	Hugh de Breynton	char-offset:430	PERSON							Principal			substitute proctor of Bartholomew the scribe of Hereford,	
64a0e84d-1e45-4822-a73d-6c5487f0d841	HCM 1264	1306	Hugh de Lanton	Hugh de Lanton	char-offset:330	PERSON							Witness		Witness		
4b8f8ce1-d625-4315-9b9a-ea946bf5bcb4	HCM 1265	1306	Hugh de Lanton	Hugh de Lanton	char-offset:399	PERSON							Witness		Witness		
1fa01776-62bd-48f7-9f61-7dd242e39077	HCM 1281	1306	Hugh de Lanton	Hugh de Lanton	char-offset:334	PERSON							Witness		Witness		
6a8f7d42-b3b3-4804-ae0b-e738bec294f8	HCM 2096	1315	Hugh de Monyton	Hugh de Monyton	char-offset:4127	PERSON							Witness		Witness	bailiffs of the king of England	
cd403b59-2635-42f7-b2f1-fad269fec2e5	HCM 209	1316	Hugh de Moniton	Hugh de Monyton	char-offset:654	PERSON							Witness		Witness		
942093b5-9e0b-4903-ab8d-645b7e4bf70c	HCM 218	1311	Hugh de Monytone	Hugh de Monyton	char-offset:511	PERSON							Witness		Witness		
47b96042-3b09-4ef3-8f72-55ae818df106	HCM 412	1314	Hugh de Monyton	Hugh de Monyton	char-offset:150	PERSON							Principal				
7d0cfb7f-280f-415f-8ee5-99cff6e94d19	HCM 1734	1317	Hugh de Sothynton	Hugh de Sothynton	char-offset:70	PERSON							Principal|Scribe		Principal		
7a7d5300-42cd-403a-b788-f46c355138f4	HCM 3155	1314	Hugh de Thornhagh	Hugh de Thornhagh	char-offset:68	PERSON							Scribe				
014e2248-b3d3-4254-bbdb-b39a0be9610f	HCM 3165	1317	Hugh de Thornhagh	Hugh de Thornhagh	char-offset:72	PERSON							Scribe				
837846df-f6a6-4ce4-b586-fd0730f529f8	HCM 758	1314	Hugh de Thornhagh	Hugh de Thornhagh	char-offset:67	PERSON							Scribe			clerk of the diocese of York, notary public	clerk of the diocese of York, notary public
196d9ff7-d3b5-4903-8a3f-0c611b28811a	HCM 153	1317	Hugh de Wormele	Hugh de Wormele	char-offset:384	PERSON							Witness		Witness		
b958bc25-68a5-4156-b788-1d6075894087	HCM 209	1316	Hugh de Wormele	Hugh de Wormele	char-offset:637	PERSON							Witness		Witness		
11977864-c683-435a-8b5e-2e8cf2af5344	HCM 207	1312	Hugh	Hugh	char-offset:74	PERSON							Principal				
aba32c3f-387b-46c2-bc61-241ca745b36c	HCM 746	circa 1310	Hugh	Hugh	char-offset:637	PERSON							Scribe		Witness		
