Document Number	Alternate Numbering	Given At	Earliest Date	Latest Date	UUID	Person ID	PERSON + DOC	QUOTE_TRANSCRIPTION	Normalized text	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags	Named by	Scribe	Principal	Witness	Dead	Gender
HCM 1023		Hereford	1317-05-19T00:00:00Z		ca09fb91-cdb5-4a5f-9676-3875c7c85db5			Hereford	Hereford		PLACE		52.05684	-2.71482	Given at	Given at						
HCM 1024	RBLR 1702, HCM 1024	Hereford	1317-04-26T00:00:00Z		ac50e45b-0aa8-49fa-be4f-0cc84086a20c	ac50e45b-0aa8-49fa-be4f-0cc84086a20c	ac50e45b-0aa8-49fa-be4f-0cc84086a20c;HCM 1024	Richard de Oxindenn'	Richard de Oxindenn		PERSON				Principal				Principal			M
HCM 1024		Hereford	1317-04-26T00:00:00Z		72fcfd7c-8b47-4b64-9cc3-33663a566f9d	d32f70d1-07b8-41da-a100-1967fff70c02	d32f70d1-07b8-41da-a100-1967fff70c02;HCM 1024	John de Kemeseye, treasurer of Hereford and one of the executors of the will of dominus Richard de Swynefeud	John de Kemeseye	treasurer of Hereford and one of the executors of the will of dominus Richard de Swynefeud	PERSON				Principal|Clerical|Agent	|Clerical|Agent			Principal			M
HCM 1024		Hereford	1317-04-26T00:00:00Z		ed57bcfe-fc71-42a9-9967-9012902598cc	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c;HCM 1024	executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford	executors of Richard de Swinfield		PERSON				Principal|Clerical|Collective	Clerical|	Collective		Principal			M
HCM 1024		Hereford	1317-04-26T00:00:00Z		eada049f-b5db-4fe4-8e52-5075ee77cff4	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1024	Richard de Swynefeud, formerly bishop of Hereford,	Richard de Swinfield		PERSON				Dead|Clerical	Clerical					Dead	M
HCM 1024		Hereford	1317-04-26T00:00:00Z		eb817b7c-6aca-4166-a9d8-1643f7bf8bec			Hereford	Hereford		PLACE		52.05684	-2.71482	Given at	Given at						
HCM 1025	RBLR 1706, HCM 1025	Hereford	1317-04-30T00:00:00Z		b5d3f337-8e27-4a7a-8670-31aa757baa7e	b5d3f337-8e27-4a7a-8670-31aa757baa7e	b5d3f337-8e27-4a7a-8670-31aa757baa7e;HCM 1025	Walter de Dunr'	Walter de Dunre		PERSON				Principal				Principal			M
HCM 1025		Hereford	1317-04-30T00:00:00Z		cfb78d46-8c6c-410c-b261-83f8e5fc2028	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c	82ac0d59-a4c6-4bb8-9eaa-b71b9626332c;HCM 1025	executors of the will of dominus Richard de Swynefeud, formerly bishop of Hereford	executors of Richard de Swinfield		PERSON				Principal|Agent|Collective|Collective	Agent	Collective		Principal			M
HCM 1025		Hereford	1317-04-30T00:00:00Z		0c400b0c-c905-4abc-8f9c-cf4d7d91d3d8	1eb4933c-65f8-40fc-9eb8-7a62800229b5	1eb4933c-65f8-40fc-9eb8-7a62800229b5;HCM 1025	Richard de Swynefeud, formerly bishop of Hereford	Richard de Swinfield		PERSON				Dead|Clerical|Lease-Holder	|Clerical|Lease-Holder					Dead	M
HCM 1025		Hereford	1317-04-30T00:00:00Z		756eb0ab-82cc-42cb-b7af-2b6d7e1afeab			lands and buildings in Bromyard	lands and buildings in Bromyard		PLACE											
HCM 1025		Hereford	1317-04-30T00:00:00Z		196a75f9-e75a-4bb6-b632-c467bb1bc387			Hereford	Hereford		PLACE		52.05684	-2.71482	Given at	Given at						
HCM 1025		Hereford	1317-04-30T00:00:00Z		f363525e-33f3-4dd1-ace8-074885d7bb67	f363525e-33f3-4dd1-ace8-074885d7bb67	f363525e-33f3-4dd1-ace8-074885d7bb67;HCM 1025	Bromyard Hoddesbach'	Bromyard Hoddesbach'		PERSON	(er, is this a place endorsed or a person doing the endorsing?)			Witness					Witness		M
