Normalized text	Document Number	Alternate Numbering	UUID	Person ID	QUOTE_TRANSCRIPTION	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags 2	Named by	Scribe	Principal	Witness	Dead	Gender
	HCM 2728						PLACE		52.22583	-2.74491	Given at							
	HCM 1414 A						PLACE				Given at							
	HCM 1172						PLACE				Given at							
	HCM 1173						PLACE		48.00972	0.19667	Given at							
	HCM 1786						PLACE											
	HCM 1334						PLACE											
	HCM 1073						PLACE											
	HCM 1652						PLACE		53.22683	-0.53792	Given at							
	HCM 2884						PLACE				Given at							
	HCM 1169						PLACE				Given at							
	HCM 1035	RBLR 1741, HCM 1035					PLACE		51.50853	-0.12574	Given at							
	HCM 1051	RBLR 2801, HCM 1051					PLACE		51.50853	-0.12574	Given at							
	HCM 1057						PLACE		51.50853	-0.12574	Given at							
	HCM 1422						PLACE		51.50853	-0.12574	Given at							
	HCM 1424						PLACE		51.50853	-0.12574	Given at							
	HCM 1428						PLACE		51.50853	-0.12574	Given at							
	HCM 1429						PLACE		51.50853	-0.12574	Given at							
	HCM 1430						PLACE		51.50853	-0.12574	Given at							
	HCM 1437						PLACE		51.50853	-0.12574	Given at							
	HCM 1439						PLACE		42.98339	-81.23304	Given at							
	HCM 1440						PLACE		51.50853	-0.12574	Given at							
	HCM 1502						PLACE		51.50853	-0.12574	Given at							
	HCM 1503						PLACE		51.50853	-0.12574	Given at							
	HCM 1599						PLACE		42.98339	-81.23304	Given at							
	HCM 1658						PLACE		51.50853	-0.12574	Given at							
	HCM 1834-em						PLACE		51.50853	-0.12574	Given at							
	HCM 1901						PLACE		51.50853	-0.12574	Given at							
	HCM 2091						PLACE		51.50853	-0.12574	Given at							
	HCM 2140						PLACE											
	HCM 2142						PLACE				Given at							
	HCM 2143						PLACE		51.50853	-0.12574	Given at							
	HCM 2536						PLACE		51.50853	-0.12574	Given at							
	HCM 2539						PLACE		51.50853	-0.12574	Given at							
	HCM 2545						PLACE		51.50853	-0.12574	Given at							
	HCM 2576						PLACE		51.50853	-0.12574	Given at							
	HCM 2579						PLACE		51.50853	-0.12574	Given at							
	HCM 2581						PLACE		51.50853	-0.12574	Given at							
	HCM 2595						PLACE		51.50853	-0.12574	Given at							
	HCM 2597						PLACE		51.50853	-0.12574	Given at							
	HCM 2598						PLACE		51.50853	-0.12574	Given at							
	HCM 2599						PLACE		51.50853	-0.12574	Given at							
	HCM 2600						PLACE		51.50853	-0.12574	Given at							
	HCM 2617						PLACE		51.50853	-0.12574	Given at							
	HCM 2619						PLACE		51.50853	-0.12574	Given at							
	HCM 2621						PLACE		51.50853	-0.12574	Given at							
	HCM 2658						PLACE		51.50853	-0.12574	Given at							
	HCM 2667						PLACE		51.50853	-0.12574	Given at							
	HCM 2673						PLACE		51.50853	-0.12574	Given at							
	HCM 2708						PLACE		51.50853	-0.12574	Given at							
	HCM 2714						PLACE		51.50853	-0.12574	Given at							
	HCM 2721						PLACE		51.50853	-0.12574	Given at							
	HCM 2722						PLACE		51.50853	-0.12574	Given at							
	HCM 2723						PLACE		51.50853	-0.12574	Given at							
	HCM 2799						PLACE		51.50853	-0.12574	Given at							
	HCM 2839						PLACE		51.50853	-0.12574	Given at							
	HCM 2926						PLACE		51.50853	-0.12574	Given at							
	HCM 2926-em						PLACE		51.50853	-0.12574	Given at							
	HCM 3199						PLACE		51.50853	-0.12574	Given at							
	HCM 3208						PLACE		51.50853	-0.12574	Given at							
	RBLR 1737	RBLR 1737, HCM 1002					PLACE		51.50853	-0.12574	Given at							
	RBLR 1738	RBLR 1738, HCM 1007					PLACE		51.50853	-0.12574	Given at							
	RBLR 1741	RBLR 1741, HCM 1035					PLACE		51.50853	-0.12574	Given at							
	RBLR 2801	RBLR 2801, HCM 1051					PLACE		51.50853	-0.12574	Given at							
	RBLR 3102						PLACE		51.50853	-0.12574	Given at							
	RBLR 3206						PLACE		51.50853	-0.12574	Given at							
	RBLR 3207						PLACE		51.50853	-0.12574	Given at							
	RBLR 3208						PLACE				Given at							
	RBLR 4802						PLACE		51.50853	-0.12574	Given at							
	RBLR 4807						PLACE		51.50853	-0.12574	Given at							
	HCM 2141						PLACE				Given at							
	HCM 2464						PLACE											
	HCM 1312						PLACE											
	HCM 557						PLACE				Given at							
	HCM 638						PLACE				Given at							
	HCM 378						PLACE		52.37431	-2.71311	Given at							
	HCM 478						PLACE		52.37431	-2.71311	Given at							
	RBLR 1726	RBLR 1726, HCM 1042					PLACE		52.37431	-2.71311	Given at							
	RBLR 5601						PLACE		52.37431	-2.71311	Given at							
	HCM 3202						PLACE											
	HCM 571						PLACE				Given at							
	RBLR 3002						PLACE											
	RBLR 4703						PLACE				Given at							
	HCM 594						PLACE				Given at							
	HCM 627						PLACE		-41.819015	-73.07448	Given at							
	HCM 644						PLACE				Given at							
	HCM 3162-em						PLACE		38.34501	-98.20173	Given at							
	HCM 140						PLACE											
	HCM 648						PLACE				Given at (suggested)							
	HCM 649						PLACE				Given at (suggested)							
	RBLR 4808						PLACE				Given at							
	HCM 2386						PLACE											
	HCM 2285						PLACE											
	HCM 432						PLACE											
	HCM 2509						PLACE											
	HCM 2510						PLACE											
	HCM 2882						PLACE											
	HCM 2503						PLACE				Given at							
	HCM 3223						PLACE											
	RBLR 2802	RBLR 2802, HCM R76					PLACE											
	HCM 2914						PLACE											
	HCM 2386						PLACE											
	RBLR 1742						PLACE											
	HCM 557						PLACE		29.94826	-91.98873								
	HCM 1732	RBLR 0801, HCM 1732					PLACE											
	HCM 1621						PLACE				Given at							
	HCM 2096						PLACE											
	HCM 1172						PLACE											
	HCM 306						PLACE											
	RBLR 3603						PLACE											
	RBLR 3704						PLACE											
	HCM 1768						PLACE											
	HCM 271						PLACE											
	HCM 1682						PLACE											
	HCM 1683						PLACE											
	HCM 3006						PLACE				Given at							
	HCM 3010						PLACE				Given at							
	HCM 2818						PLACE				Given at (suggested)							
	HCM 2130						PLACE				Given at (suggested)							
	HCM 2819-em2						PLACE				Given at (suggested(							
	HCM 2819-em1						PLACE				Given at (suggested(							
	HCM 3005.E						PLACE				Given at							
	HCM 2614						PLACE		51.81265	-2.71363	Given at							
	RBLR 1301						PLACE				Given at (suggested)							
	HCM 367						PLACE				Given at							
	HCM 1313						PLACE		41.03606	-111.67688	Given at							
	HCM 1416						PLACE				Given at							
	HCM 1747						PLACE				Given at							
	HCM 1755						PLACE				Given at							
	HCM 670						PLACE				Given at (suggested)							
	HCM 539						PLACE				Given at							
	HCM 2467						PLACE				Given at							
	HCM 382						PLACE		51.93365	-2.40815	Given at							
	HCM 383						PLACE		51.93365	-2.40815	Given at							
	HCM 392						PLACE		51.93365	-2.40815	Given at							
	HCM 1423						PLACE		51.51247967	-0.11048263	Given at							
	HCM 1169						PLACE											
	HCM 436						PLACE											
	HCM 1266						PLACE											
	HCM 1266						PLACE											
	HCM 380						PLACE		41.02922	-81.63818	Given at							
	HCM 1871						PLACE				Given at							
	HCM 1327						PLACE		52.9536	-1.15047	Given at							
	HCM 1329						PLACE		52.9536	-1.15047	Given at							
	HCM 1471						PLACE											
	HCM 1277						PLACE											
	HCM 1266						PLACE											
	HCM 1266						PLACE											
	HCM 1872						PLACE											
	HCM 692						PLACE											
	HCM 2163						PLACE											
	HCM 2100-em						PLACE											
	HCM 468						PLACE											
	HCM 1724						PLACE											
	HCM 689						PLACE											
	HCM 679						PLACE											
	HCM 6						PLACE											
	HCM 5						PLACE											
	HCM 359						PLACE											
	HCM 31						PLACE											
	HCM 8						PLACE											
	HCM 700						PLACE											
	HCM 633						PLACE											
	HCM 280						PLACE											
	HCM 1266						PLACE											
	HCM 2289						PLACE											
	HCM 433						PLACE											
	HCM 2165	RBLR 3001, HCM 2165					PLACE											
	RBLR 3001	RBLR 3001, HCM 2165					PLACE											
	RBLR 3001-em						PLACE											
	HCM 1274						PLACE											
	HCM 2274						PLACE											
	HCM 755						PLACE											
	HCM 358						PLACE											
	HCM 1260						PLACE											
	HCM 492						PLACE											
	HCM 1266						PLACE											
	HCM 338						PLACE											
	HCM 1755						PLACE											
	HCM 556						PLACE											
	HCM 557						PLACE											
	HCM 1747						PLACE											
	HCM 2056						PLACE											
	HCM 635						PLACE											
	HCM 1058						PLACE											
	HCM 593						PLACE											
	RBLR 1303	RBLR 1303, HCM 17					PLACE											
	HCM 1646						PLACE											
	RBLR 1403	RBLR 1403, HCM 14					PLACE											
	RBLR 1402	RBLR 1402, HCM 13					PLACE											
	HCM 23	RBLR 0501, HCM 23					PLACE											
	RBLR 0501	RBLR 0501, HCM 23					PLACE											
	HCM 15						PLACE											
	HCM 687						PLACE											
	HCM 367						PLACE											
	HCM 1276						PLACE											
	HCM 21						PLACE											
	HCM 1803						PLACE											
	HCM 2056						PLACE											
	HCM 755						PLACE											
	HCM 1626						PLACE											
	HCM 1736						PLACE											
	HCM 2075						PLACE											
	HCM 2077						PLACE											
	HCM 2077-em						PLACE											
	HCM 530						PLACE											
	HCM 2248						PLACE											
	HCM 2100-em						PLACE											
	HCM 755						PLACE											
	RBLR 1401	RBLR 1401, HCM 12					PLACE											
	HCM 1679						PLACE											
	HCM 1863						PLACE											
	RBLR 1608	RBLR 1608, HCM 4					PLACE											
	HCM 2089						PLACE											
	HCM 2089-em1						PLACE											
	RBLR 3003	RBLR 3003, HCM 2089a					PLACE											
	RBLR 3003-em						PLACE											
	HCM 2089-em2						PLACE											
	HCM 703						PLACE											
	RBLR 3004	RBLR 3004, HCM R79					PLACE											
	RBLR 3004-em						PLACE											
	HCM 60						PLACE											
	HCM 531						PLACE											
	HCM 1667						PLACE											
	HCM 3215.B						PLACE											
	HCM 678						PLACE											
	HCM 3215 A						PLACE											
	HCM 392						PLACE											
	HCM 516						PLACE											
	HCM 672						PLACE											
	HCM 669						PLACE											
	HCM 1179						PLACE											
	HCM 497						PLACE											
	HCM 1803						PLACE											
	HCM 2317						PLACE											
	HCM 650						PLACE											
	HCM 2797-em3						PLACE		49.41631	1.92302	Given at							
	HCM 622						PLACE											
	HCM 1339						PLACE				Given at							
	HCM 1414 A						PLACE											
	HCM 1414 A-em						PLACE		42.71702	12.11363	Given at							
	HCM 2529						PLACE		42.71702	12.11363	Given at							
	HCM 2797						PLACE				Given at							
	HCM 2837						PLACE		42.71702	12.11363	Given at							
	HCM 1311						PLACE				Given at							
	HCM 1312						PLACE		41.43083	20.45556	Given at							
	HCM 1529						PLACE				Given at							
	HCM 2932.E						PLACE		41.60201343	13.17762716								
	HCM 384						PLACE				Given at							
	HCM 385						PLACE				Given at (suggested)							
	HCM 386						PLACE				Given at							
	HCM 1414						PLACE				Given at							
	HCM 2129						PLACE		48.856667	2.350987	Given at							
	HCM 1858						PLACE											
	HCM 2159						PLACE											
	HCM 623						PLACE											
	HCM 322						PLACE				Given at							
	HCM 323						PLACE				Given at							
	HCM 324						PLACE				Given at							
	HCM 325						PLACE				Given at							
	HCM 326						PLACE				Given at							
	HCM 2169						PLACE											
	HCM 1866						PLACE		-6.6313	111.528	Given at							
	HCM 1432						PLACE				Given at							
	HCM 1620						PLACE				Given at							
	RBLR 2602						PLACE				Given at (suggested)							
	HCM 2469						PLACE				Given at							
	HCM 2469-em						PLACE				Given at							
	HCM 555-em						PLACE				Given at							
	RBLR 2201						PLACE		6.16739	101.18008	Given at (suggested)							
	RBLR 2202						PLACE				Given at (suggested)							
	RBLR 2203						PLACE				Given at							
	RBLR 4605						PLACE				Given at							
	RBLR 4606						PLACE				Given at							
	HCM 1179						PLACE		50.643223	-2.421539	Given at							
	HCM 1486						PLACE		50.643223	-2.421539	Given at							
	HCM 2888						PLACE				Given at							
	RBLR 1907						PLACE				Given at							
	RBLR 1908						PLACE				Given at							
	RBLR 1909						PLACE				Given at							
	HCM 2465						PLACE		41.75	12.665								
	HCM 420						PLACE				Given at							
	HCM 421						PLACE				Given at							
	HCM 423						PLACE				Given at							
	HCM 7						PLACE											
	HCM 1322						PLACE		51.45625	-0.97113	Given at							
	HCM 1903						PLACE				Given at							
	HCM 530						PLACE				Given at							
	HCM 1863						PLACE											
	RBLR 1904						PLACE				Given at							
	RBLR 1905						PLACE				Given at							
	RBLR 1906						PLACE				Given at							
	RBLR 4201	RBLR 4201, HCM R95a					PLACE				Given at (suggested)							
	HCM 34	RBLR 1901, HCM 34					PLACE											
	RBLR 3803	RBLR 3803, HCM R90					PLACE		41.86676	-72.44953	Given at							
	HCM 2996						PLACE				Given at							
	HCM 2089-em1						PLACE				Given at							
	HCM 597						PLACE		53.2858	24.4128	Given at (suggested)							
	RBLR 3003-em						PLACE		51.91667	-2.56667	Given at							
	HCM 1828						PLACE				Given at							
	RBLR 1817						PLACE				Given at							
	RBLR 1818						PLACE				Given at							
	RBLR 2101						PLACE				Given at							
	HCM 680						PLACE											
	HCM 1314						PLACE											
	HCM 435						PLACE											
	HCM 322						PLACE											
	HCM 1378-em2						PLACE				Given at							
	RBLR 4503	RBLR 4503, HCM R98					PLACE											
	RBLR 4503-em2						PLACE				Given at							
	HCM 1587						PLACE											
	HCM 2132						PLACE		52.71009	-2.75208	Given at							
	HCM 50						PLACE											
	HCM 682						PLACE											
	HCM 1264						PLACE											
	HCM 1265						PLACE											
	HCM 1281						PLACE											
	HCM 427						PLACE											
	HCM 1798						PLACE											
	HCM 2305						PLACE											
	HCM 1851						PLACE				Given at							
	HCM 1855						PLACE		51.513741698095345	-0.098465147372751	Given at							
	HCM 2717						PLACE				Given at							
	HCM 1647						PLACE				Given at							
	HCM 1657						PLACE				Given at							
	HCM 339						PLACE				Given at							
	HCM 340						PLACE				Given at							
	HCM 341						PLACE				Given at							
	HCM 342						PLACE				Given at							
	HCM 346						PLACE				Given at							
	HCM 558						PLACE				Given at							
	HCM 559						PLACE				Given at							
	HCM 2686						PLACE		52.331047	0.867762	Given at							
	RBLR 2107						PLACE				Given at							
	RBLR 4407						PLACE				Given at							
	HCM 222						PLACE											
	RBLR 3204-em1						PLACE				Given at							
	HCM 1052						PLACE				Given at							
	HCM 1059						PLACE				Given at							
	HCM 1378-em1						PLACE		17.5	47.5	Given at							
	HCM 1892						PLACE				Given at							
	HCM 2164						PLACE				Given at							
	RBLR 1745						PLACE				Given at							
	RBLR 1746						PLACE				Given at							
	RBLR 4503-em1						PLACE				Given at							
	HCM 666						PLACE				Given at							
	HCM 2274						PLACE		8.19228	77.265021	Given at							
	HCM 1523						PLACE		51.62079	-3.94323	Given at							
	HCM 1768						PLACE		51.62079	-3.94323	Given at							
	RBLR 1742						PLACE		6.46038	-71.72923	Given at							
	HCM 286						PLACE											
	HCM 1584						PLACE				Given at							
	HCM 1587						PLACE				Given at							
	HCM 104						PLACE											
	HCM 2079						PLACE											
	HCM 2372						PLACE											
	HCM 1804						PLACE											
	HCM 2019						PLACE											
	RBLR 1001	RBLR 1001, HCM 61					PLACE											
	HCM 2855						PLACE											
	HCM 1376						PLACE											
	HCM 674						PLACE											
	HCM 1366						PLACE		51.7484	-0.97624	Given at							
	HCM 1815						PLACE											
	HCM 773						PLACE											
	HCM 2932.E						PLACE											
	HCM 598						PLACE											
	HCM 2386						PLACE											
	HCM 1684						PLACE											
	HCM 2870						PLACE											
	RBLR 4405						PLACE											
	HCM 497						PLACE											
	HCM 1899						PLACE											
	HCM 1899-em						PLACE											
	HCM 2219						PLACE											
	HCM 2742						PLACE											
	HCM 2837-em						PLACE		41.885906	12.506156	Given at							
	HCM 1885						PLACE											
	HCM 560						PLACE											
	HCM 621						PLACE											
	HCM 1681						PLACE											
	HCM 685						PLACE											
	HCM 694						PLACE											
	HCM 2997						PLACE				Given at							
	HCM 2915						PLACE											
	HCM 406						PLACE											
	RBLR 1819						PLACE											
	HCM 2059						PLACE											
	HCM 1702						PLACE											
	HCM 2305						PLACE											
	HCM 2305						PLACE											
	HCM 1075						PLACE											
	HCM 1933						PLACE											
	HCM 322						PLACE											
	HCM 1931-em						PLACE				Given at							
	HCM 1657						PLACE											
	HCM 1266						PLACE											
	HCM 644						PLACE											
	HCM 664						PLACE											
	HCM 1271						PLACE											
	HCM 37						PLACE											
	HCM 1200						PLACE											
	HCM 1246						PLACE											
	HCM 636						PLACE											
	HCM 1703						PLACE											
	HCM 1654						PLACE											
	HCM 1624						PLACE											
	RBLR 3703						PLACE											
	HCM 606						PLACE											
	HCM 2122						PLACE											
	HCM 2268						PLACE											
	HCM 1928						PLACE											
	HCM 2451						PLACE											
	HCM 2817						PLACE											
	HCM 2140						PLACE											
	HCM 2779						PLACE											
	HCM 2468						PLACE											
	HCM 3178						PLACE											
	HCM 665						PLACE											
	HCM 2222						PLACE											
	HCM 2620						PLACE											
	HCM 1928						PLACE											
	HCM 2451						PLACE											
	HCM 2166						PLACE											
	RBLR 3205						PLACE											
	HCM 597						PLACE											
	RBLR 2501						PLACE				Given at							
	RBLR 3602						PLACE				Given at							
	RBLR 3701						PLACE				Given at							
	RBLR 4501						PLACE											
	HCM 2187						PLACE				Given at							
	HCM 1703						PLACE				Given at							
	RBLR 1201	RBLR 1201, HCM 553					PLACE											
	HCM 2055						PLACE											
	HCM 250						PLACE											
	HCM 236						PLACE											
	HCM 3198						PLACE											
	HCM 2463						PLACE											
	HCM 2305						PLACE											
	HCM 2305						PLACE											
	HCM 22						PLACE											
	HCM 2305						PLACE											
	HCM 536						PLACE											
	HCM 538						PLACE											
	HCM 539						PLACE											
	RBLR 0907	RBLR 0907, HCM 1733					PLACE											
	HCM 1266						PLACE		51.512660955	-0.10292211								
	HCM 1266						PLACE		51.512660955	-0.10292211								
	HCM 1266						PLACE		51.512660955	-0.10292211								
	HCM 564						PLACE											
	HCM 2100-em						PLACE											
	HCM 11						PLACE											
	HCM 2056						PLACE											
	HCM 547						PLACE											
	HCM 346						PLACE											
	HCM 353						PLACE											
	HCM 594						PLACE											
	HCM 2881						PLACE											
	HCM 2097						PLACE											
	HCM 663						PLACE											
	HCM 637						PLACE											
	HCM 20						PLACE											
	HCM 1751						PLACE		51.512660955	-0.10292211								
	HCM 2100-em						PLACE		51.512660955	-0.10292211								
	HCM 688						PLACE											
	HCM 755						PLACE		51.512660955	-0.10292211								
	HCM 603						PLACE											
	HCM 38						PLACE											
	HCM 2876						PLACE											
	HCM 126						PLACE											
	HCM 1266						PLACE											
	HCM 142						PLACE											
	RBLR 2804						PLACE											
	HCM 605						PLACE											
	HCM 382						PLACE											
	HCM 600						PLACE											
	HCM 604						PLACE											
	HCM 2089						PLACE											
	HCM 2089-em1						PLACE											
	HCM 2089-em2						PLACE											
	HCM 2100						PLACE											
	HCM 2100-em						PLACE											
	HCM 76						PLACE											
	RBLR 3003	RBLR 3003, HCM 2089a					PLACE											
	RBLR 3003-em						PLACE											
	RBLR 3004	RBLR 3004, HCM R79					PLACE											
	RBLR 3004-em						PLACE											
	RBLR 3602						PLACE											
	RBLR 3701						PLACE											
	HCM 275						PLACE											
	HCM 1584						PLACE											
	HCM 385						PLACE											
	HCM 559						PLACE											
	HCM 1689						PLACE											
	HCM 670						PLACE											
	HCM 16						PLACE											
	HCM 611						PLACE											
	HCM 531						PLACE											
	HCM 1887						PLACE											
	HCM 2505						PLACE											
	RBLR 3109						PLACE				Given at							
	HCM 1753						PLACE				Given at							
	HCM 1601						PLACE				Given at							
	RBLR 4603						PLACE				Given at							
	RBLR 4404						PLACE				Given at							
	RBLR 4405						PLACE				Given at							
	RBLR 5102						PLACE				Given at							
	RBLR 5103						PLACE				Given at							
	HCM 600						PLACE		41.87834	-91.83462	Given at							
	HCM 601						PLACE		41.87834	-91.83462	Given at							
	HCM 602						PLACE		41.87834	-91.83462	Given at							
	HCM 603						PLACE		41.87834	-91.83462	Given at							
	HCM 604						PLACE				Given at							
	HCM 605						PLACE		32.020202	15.096728	Given at							
	RBLR 3203						PLACE		51.687	-0.00421	Given at							
	HCM 2261.a						PLACE		52.28333	-1.58333	Given at							
	HCM 2508						PLACE											
	HCM 1658						PLACE											
	HCM 2134						PLACE				Given at							
	HCM 2133						PLACE				Given at							
	HCM 147						PLACE				Given at							
	HCM 1435						PLACE		51.5	-0.11667	Given at							
	HCM 1736						PLACE				Given at							
	HCM 1767						PLACE		51.5	-0.11667	Given at							
	HCM 1767-em2						PLACE		33.75918	-118.00673	Given at							
	HCM 1820						PLACE		51.5	-0.11667	Given at							
	HCM 1854						PLACE		51.5	-0.11667	Given at							
	HCM 1862						PLACE		51.5	-0.11667	Given at							
	HCM 1929						PLACE		51.5	-0.11667	Given at							
	HCM 1930						PLACE		51.5	-0.11667	Given at							
	HCM 2674						PLACE		51.5	-0.11667	Given at							
	HCM 2679						PLACE		51.5	-0.11667	Given at							
	HCM 2780						PLACE		51.5	-0.11667	Given at							
	HCM 2880						PLACE		51.5	-0.11667	Given at							
	RBLR 1607						PLACE		51.5	-0.11667	Given at							
	RBLR 1819						PLACE		51.5	-0.11667	Given at							
	RBLR 2102						PLACE		51.5	-0.11667	Given at							
	RBLR 2104						PLACE		51.5	-0.11667	Given at							
	RBLR 2105						PLACE		51.5	-0.11667	Given at							
	RBLR 3101						PLACE		51.5	-0.11667	Given at							
	RBLR 3703						PLACE		51.5	-0.11667	Given at							
	RBLR 4407						PLACE		51.5	-0.11667	Given at							
	HCM 636						PLACE		51.961033	-0.149112	Given at							
	HCM 1474						PLACE											
	HCM 2451						PLACE				Given at							
	RBLR 4602						PLACE				Given at							
	RBLR 4806						PLACE				Given at							
	HCM 2613						PLACE				Given at							
	HCM 2615						PLACE				Given at							
	HCM 2616						PLACE				Given at							
	HCM 2689						PLACE				Given at							
	HCM 2532						PLACE				Given at							
	HCM 23	RBLR 0501, HCM 23					PLACE											
	HCM 1376						PLACE				Given at							
	HCM 2947.G						PLACE		51.48333	-0.6	Given at							
	RBLR 3110						PLACE		51.832345	-1.956272	Given at							
	RBLR 3111						PLACE		51.832345	-1.956272	Given at							
	RBLR 3112						PLACE		51.832345	-1.956272	Given at							
	RBLR 3205						PLACE		51.832345	-1.956272	Given at							
	RBLR 2803						PLACE		52.18935	-2.22001	Given at							
	HCM 1527						PLACE				Given at (suggested)							
	HCM 1060						PLACE				Given at							
	HCM 2131						PLACE				Given at							
	HCM 516						PLACE				Given at							
	RBLR 1738	RBLR 1738, HCM 1007					PLACE				Given at							
	RBLR 1813	RBLR 1813, HCM 1027					PLACE				Given at							
	HCM 2549						PLACE		53.95763	-1.08271	Given at							
	HCM 2553						PLACE		53.95763	-1.08271	Given at							
	HCM 2555						PLACE		53.95763	-1.08271	Given at							
	HCM 2556						PLACE		53.95763	-1.08271	Given at							
	HCM 2561						PLACE		53.95763	-1.08271	Given at							
	HCM 2564						PLACE		53.95763	-1.08271	Given at							
	HCM 2565						PLACE		53.95763	-1.08271	Given at							
	HCM 2566						PLACE		53.95763	-1.08271	Given at							
	HCM 2576						PLACE		53.95763	-1.08271	Given at							
	RBLR 1902						PLACE		53.95763	-1.08271	Given at							
	HCM 403						PLACE											
