Normalized text	Document Number	Alternate Numbering	UUID	Person ID	QUOTE_TRANSCRIPTION	Supplemental naming	TYPE	COMMENTS	LAT	LNG	TAGS	Unhandled Tags 2	Named by	Scribe	Principal	Witness	Dead	Gender
	HCM 1063						PLACE				Given at							
	HCM 1065						PLACE				Given at							
	HCM 1507.C.						PLACE				Given at							
	HCM 1931						PLACE				Given at							
	HCM 1975						PLACE				Given at							
	HCM 2151						PLACE				Given at							
	HCM 2257						PLACE				Given at							
	HCM 2878						PLACE				Given at							
	HCM 491						PLACE				Given at							
	RBLR 1501						PLACE				Given at							
	RBLR 1605						PLACE				Given at							
	RBLR 1712	RBLR 1712, HCM 1037					PLACE				Given at							
	RBLR 1713	RBLR 1713, HCM 1005					PLACE		51.0097	4.36303	Given at							
	RBLR 1801						PLACE				Given at							
	RBLR 1802						PLACE				Given at							
	RBLR 1803						PLACE				Given at							
	RBLR 2106						PLACE				Given at							
	RBLR 2107						PLACE				Given at							
	HCM 1420						PLACE		50.7	-4.38333	Given at							
	HCM 1375	RBLR 2901, HCM 1375					PLACE				Given at							
	RBLR 2901	RBLR 2901, HCM 1375					PLACE				Given at							
	RBLR 4004						PLACE		52.03008	-2.11671	Given at							
	HCM 3						PLACE				Given at							
	HCM 37						PLACE				Given at							
	RBLR 1303	RBLR 1303, HCM 17					PLACE				Given at							
	RBLR 1601	RBLR 1601, HCM 26					PLACE				Given at							
	RBLR 1603	RBLR 1603, HCM 33					PLACE				Given at							
	HCM 533						PLACE				Given at							
	HCM 2145						PLACE				Given at							
	HCM 564						PLACE				Given at							
	HCM 2455						PLACE				Given at							
	HCM 20						PLACE											
	HCM 556						PLACE				Given at							
	HCM 1645						PLACE				Given at							
	HCM 217						PLACE				Given at							
	RBLR 4406						PLACE											
	RBLR 4101						PLACE		52.05684	-2.71482	Given at (suggested)							
	HCM 2851						PLACE											
	RBLR 1908						PLACE											
	HCM 2077-em						PLACE				Given at							
	HCM 2502						PLACE				Given at							
	HCM 433						PLACE				Given at							
	HCM 1033	RBLR 1814, HCM 1033					PLACE		51.27904	1.07992	Given at							
	RBLR 1739	RBLR 1739, HCM 1036					PLACE		51.27904	1.07992	Given at							
