Source	Target	Weight
Dominus Hugh de Brehousa	the pasture of the bishop of Hereford	1
Dominus Hugh de Brehousa	the land which belonged to Thomas Theobaud	1
Dominus Hugh de Brehousa	the land of the dean and chapter of Hereford	1
Dominus Hugh de Brehousa	Kingston	1
the land of John Throm	the land of the prebend of Gorewalle	1
the land of John Throm	the land of the said dominus Hugh	1
the land of John Throm	the land of Giles le deyare	1
the land of John Throm	Lanton	1
the land of John Throm	the pasture of the bishops two acres lay in Gaerlecroft	1
the land of John Throm	the land which belonged to John Lylie	1
the land of John Throm	the monastery of Lanthon' Prima of the diocese of St. Davids	1
the land of John Throm	the convent of the Lanthon Primaa of the diocese of St. David's	1
the land of John Throm	the pasture of the bishop of Hereford	1
the land of John Throm	the land which belonged to Thomas Theobaud	1
the land of John Throm	the land of the dean and chapter of Hereford	1
the land of John Throm	Kingston	1
the land of the prebend of Gorewalle	the land of the said dominus Hugh	1
the land of the prebend of Gorewalle	the land of Giles le deyare	1
the land of the prebend of Gorewalle	Lanton	1
the land of the prebend of Gorewalle	the pasture of the bishops two acres lay in Gaerlecroft	1
the land of the prebend of Gorewalle	the land which belonged to John Lylie	1
the land of the prebend of Gorewalle	the monastery of Lanthon' Prima of the diocese of St. Davids	1
the land of the prebend of Gorewalle	the convent of the Lanthon Primaa of the diocese of St. David's	1
the land of the prebend of Gorewalle	the pasture of the bishop of Hereford	1
the land of the prebend of Gorewalle	the land which belonged to Thomas Theobaud	1
the land of the prebend of Gorewalle	the land of the dean and chapter of Hereford	1
the land of the prebend of Gorewalle	Kingston	1
the land of the said dominus Hugh	the land of Giles le deyare	1
the land of the said dominus Hugh	Lanton	1
the land of the said dominus Hugh	the pasture of the bishops two acres lay in Gaerlecroft	1
the land of the said dominus Hugh	the land which belonged to John Lylie	1
the land of the said dominus Hugh	the monastery of Lanthon' Prima of the diocese of St. Davids	1
the land of the said dominus Hugh	the convent of the Lanthon Primaa of the diocese of St. David's	1
the land of the said dominus Hugh	the pasture of the bishop of Hereford	1
the land of the said dominus Hugh	the land which belonged to Thomas Theobaud	1
the land of the said dominus Hugh	the land of the dean and chapter of Hereford	1
the land of the said dominus Hugh	Kingston	1
the land of Giles le deyare	Lanton	1
the land of Giles le deyare	the pasture of the bishops two acres lay in Gaerlecroft	1
the land of Giles le deyare	the land which belonged to John Lylie	1
the land of Giles le deyare	the monastery of Lanthon' Prima of the diocese of St. Davids	1
the land of Giles le deyare	the convent of the Lanthon Primaa of the diocese of St. David's	1
the land of Giles le deyare	the pasture of the bishop of Hereford	1
the land of Giles le deyare	the land which belonged to Thomas Theobaud	1
the land of Giles le deyare	the land of the dean and chapter of Hereford	1
the land of Giles le deyare	Kingston	1
Lanton	the pasture of the bishops two acres lay in Gaerlecroft	1
Lanton	the land which belonged to John Lylie	1
Lanton	the monastery of Lanthon' Prima of the diocese of St. Davids	1
Lanton	the convent of the Lanthon Primaa of the diocese of St. David's	1
Lanton	the pasture of the bishop of Hereford	1
