UUID	Document Number	QUOTE_TRANSCRIPTION	STD_PLACE_NAME	LAT	LNG	Place Type	Role	TAGS	COMMENTS
3adbb851-a7aa-48b6-9935-d80f49311fb9	HCM 219	Bihyndewalle					Other		
434b78d6-5594-498d-b4ed-8708344530cf	HCM 589	Bleegh(?)					Nominative	Nominative	
50f436c8-6fb9-4e5f-88cc-693401a39f44	HCM 2595	Bliburg					Nominative	Nominative	
bbbf8613-f302-4591-b24a-75eb5e6bc918	HCM 623	Blitheslowe					Nominative	Nominative	
380436f8-5733-417a-862a-353c5d6b703a	HCM 1281	Bole	Jianxincun	25.83892	104.11952		Nominative	Nominative	
361494e5-1923-4aba-b7a7-5d11af196cc7	HCM 3001	Boleye					Nominative	Nominative	
1134ae38-c44d-4e80-a06b-ff47d76135ad	HCM 3001	Bolyngehope					Nominative	Nominative	
0d86c394-9e05-486e-a718-7316bc79a1df	HCM 1441	Bordeaux	Bordeaux (Aquitaine, France)				Given at	Given at	
68d24f82-6f6b-41b5-b41f-f2e82605f92f	HCM 1005	Bos	Kapelle-op-den-Bos	51.0097	4.36303		Given at	Given at	Bosbury (a favorite manor of the Bishop of Hereford)
7b17473a-8cd8-4666-b8a0-81cef53dda00	HCM 1049	Bosebur					Given at	Given at	
294fe979-f223-48d0-ab5a-726a05f49599	HCM 1063	Bosebur					Given at	Given at	
d1fef52e-c790-4240-a225-5ebab177b37f	HCM 1065	Bosebur					Other		
47c20d32-4a2a-4709-91ca-85e4fecd61f3	HCM 1507 C	Bosebur					Given at	Given at	
cc7d4582-9ab6-4822-a8df-79b770ac4947	HCM 1931	Bosebur					Given at	Given at	Bosbury
f65ac223-4583-4e5c-871d-4a714c839648	HCM 1975	Bosebur					Given at	Given at	Bosbury, a manor of the Bishop of Hereford
dbcc1116-cc7b-4239-ba3a-dd8b1dd40bef	HCM 2151	Bosebur					Given at	Given at	Bosbury, manor of the Bishop of Hereford
7c0c17d6-8238-4d56-9bfd-174519c0a210	HCM 2257	Bosebur					Given at	Given at	Bosbury, a manor of the bishop of Hereford
0dfbe57d-edb5-4465-adab-6bdaaacf6e88	HCM 2878	Bosebur					Given at	Given at	
c5f38547-d3ab-4bdc-bf49-aa22f6f29830	HCM 670	Boyfelde					Nominative	Nominative	
4c9caf70-18cc-4418-9245-4978393913e1	HCM 608	Braumford'					Nominative	Nominative	
209a4bf9-46e1-46de-a856-fa339307d142	HCM 609	Braumford'					Nominative	Nominative	
2ada487d-900b-42b7-8954-5574c2a7d231	HCM 2873	Braunfort					Nominative	Nominative	
fe8c7758-3300-492e-9042-1828626ff952	HCM 1929	Breghenok					Nominative	Nominative	
d859bbfb-ae79-411e-8666-ace3c3f12ef6	HCM 1169	Brehousa					Other		
f64fa739-5cf3-49af-8daa-df802d64eeb5	HCM 2096	Brehousa					Nominative	Nominative	
912ef5c6-07cd-470b-8ff9-e316b254651d	HCM 1311	Brember					Nominative	Nominative	
436904d5-a858-497b-b41e-2890ec130c6d	HCM 1313	Brember					Nominative	Nominative	
2f6e63a7-275c-4861-bee3-ab85c5fc48a8	HCM 1438	Breosa					Nominative	Nominative	
c00e6ad7-6627-445e-863d-0a4266e4ba1b	HCM 1417	Breusa					Nominative	Nominative	
d2fd21f3-c0cf-460c-8793-d2b02ae4d255	HCM 1311	Brewos'					Nominative	Nominative	
e39301ca-a6c3-4f1c-80c7-cd04263ea151	HCM 1313	Brewosia					Nominative	Nominative	elsewhere, Breosa
2ace1b22-3fa9-43bf-8cc0-f19cebca9e42	HCM 2093	Breynton					Nominative	Nominative	
c95d74d9-e665-4ef8-aad4-d11b7cf43c7b	HCM 218	Breynton					Nominative	Nominative	
5a36fe8f-91df-4351-86a1-429cfa3557c9	HCM 608	Breynton					Other		
3ba4a1ef-853c-49fd-b91c-975840df6b3b	HCM 700	Breynton					Nominative	Nominative	
477b29b8-8b74-40ba-943a-8c9d8e029a3c	HCM 1610	Bristoll	Bristol	51.45523	-2.59665		Nominative	Nominative	
3068f5b2-095d-4312-85fa-2b8d1582163f	HCM 201	Bristoll	Bristol	51.45523	-2.59665		Nominative	Nominative	
3ba82a99-620a-4e6e-b6bd-933e548ce4c0	HCM 2873	Bristoll	Bristol	51.45523	-2.59665		Nominative	Nominative	
32d88b35-3c40-4f33-9480-1f29595f0a3d	HCM 1489	Brocwardin					Nominative	Nominative	
76df5d99-771e-4d7d-a6d5-05e0cf901939	HCM 1975	Brocwardin					Nominative	Nominative	
7dac4c17-1838-4aa1-bae1-18f3ccdf99ed	HCM 352	Bromesberuwe					Other		
7e782ea1-6f5f-41b2-94ef-92c1fc8124e1	HCM 2145	Bromfeld					Given at	Given at	
b29e97ab-bfe5-4945-b39f-95c4687b5da6	HCM 2145	Bromfeld					Nominative	Nominative	
ed6a1cb3-8055-4e77-ae50-30417d80a4b9	HCM 2667	Bromfeld					Nominative	Nominative	
eabac77c-8262-460b-b9e3-4be8617f88ad	HCM 2719	Bromfeld					Nominative	Nominative	
c9cd55e0-8dfd-4d59-b790-a11370c0002c	HCM 564	Brompton	Brompton	52.531065	-3.113228		Nominative	Nominative	
ccffe6c0-3b58-4e61-a07c-5d9e32eb58df	HCM 564	Brompton	Brompton	52.531065	-3.113228		Other		
894d8395-c627-4ced-8443-0944a1777ad5	HCM 1025	Bromyard	Bromyard	52.19019	-2.50875		Other		
5a557222-9f10-404c-9e68-1d2889c93f76	HCM 678	Broumia					Nominative	Nominative	
5712a583-7cea-442e-9f3d-c53c6a30027d	HCM 755	Broynton					Other		
3121317c-008f-472b-9e88-0e69c0f03d1a	HCM 2673	Bruera					Nominative	Nominative	
887df337-a15d-4168-872a-85aa4d9ffa20	HCM 758	Brugge	Brugge|Brugge|Brugge	51.2094	3.2252		Nominative	Nominative	this is either Brugge Solers or Brugge Waleische; check Gilbert's other documents
a076c49c-ab85-426e-89d0-a82ae4b953fe	HCM 218	Bruneshope					Nominative	Nominative	
83091ded-bd00-43df-8513-3db6879c618f	HCM 405	Bruneshope					Nominative	Nominative	
ac2527e0-4df9-4a30-859b-178bef19a0e5	HCM 608	Bruneshope					Nominative	Nominative	
b57c954a-a676-4839-81e3-5c0a1b42ebdf	HCM 1489	Brunsope					Nominative	Nominative	
cf5f35f6-e624-4b51-b065-8f31149d0eca	HCM 2873	Brunsope					Nominative	Nominative	
6edb5a1c-830d-48c4-a204-d83873774ee5	HCM 609	Brunsope					Nominative	Nominative	
7043ba01-5a50-4186-a3ab-1afd645dfd0a	HCM 174	Brutone strete				Street	Other	Street	
30cc4dd5-50e9-4778-8782-34f6beef7eed	HCM 186	Bruttonestrete				Street	Other	Street	
d64cbd00-1f5f-4beb-9b6d-f1abb86e1970	HCM 2093	Buesham					Nominative	Nominative	
8c64e0cf-6e33-42bf-941e-201dc850c1ef	HCM 1736	Bulleye					Nominative	Nominative	
433e9f97-a9dc-4a96-8ed8-da7907ef27d9	HCM 1736	Bulleye					Other		
ef864af7-d357-4e82-857d-e9acbd9a35bf	HCM 2260	Bureford					Nominative	Nominative	
6b1af1e3-5cb3-49f9-92a1-ce5a50558818	HCM 2145	Buterleye					Nominative	Nominative	
8818e823-2a77-4f41-ab8c-a219abb3a3c5	HCM 1929	Byford’	Byford	-32.22099	116.009		Nominative	Nominative	
37bb96df-329e-47c8-a0e9-0c82cdc1a3c9	HCM 2059	Byhindethewalle				Street	Other	Street	
7fbb1f04-23e9-4150-b712-8e80d794749a	HCM 2874	Byhindethewalle				Street	Other	Street	
86af7191-20a3-4ca2-8b55-222bfa13c688	HCM 623	Bykenor					Nominative	Nominative	
2a80d21b-7eb1-4d73-bb69-9e436dbe516d	HCM 608	Byritone					Nominative	Nominative	
a83db225-037f-4a4b-b2d7-11007ae418f3	HCM 608	Byrytone					Nominative	Nominative	
c0fc7d54-508b-4595-9196-8f9eab51afaa	HCM 1503	Cadwely					Nominative	Nominative	
afd8b12d-6659-4220-8310-f715a67fac21	HCM 680	Calewe	Callow	52.01667	-2.73333		Nominative	Nominative	
25a827c3-5bfc-44a2-af0b-c8da8c524698	HCM 1417	Canterbury	Canterbury	51.27904	1.07992		Nominative	Nominative	
bff076d1-dc19-487a-8443-bcfd64f3e3e1	HCM 1503	Canterbury	Canterbury	51.27904	1.07992		Nominative	Nominative	
a8838026-8d73-49dc-b5dd-ebde9c781ce1	HCM 1599	Canterbury	Canterbury	51.27904	1.07992		Nominative	Nominative	
a9e17567-57a6-4f1c-80d9-92c93722c323	HCM 1599	Canterbury	Canterbury	51.27904	1.07992		Other		
4897dfc6-3a9f-4748-90a4-a95176e08dc8	HCM 1780	Canterbury	Canterbury	51.27904	1.07992		Nominative	Nominative	
432934cd-3a2a-46e1-b262-3523428f456e	HCM 2260	Canterbury	Canterbury	51.27904	1.07992		Nominative	Nominative	
e9714a5d-871e-488e-bafe-869cf1dfb37e	HCM 2871	Canterbury	Canterbury	51.27904	1.07992		Nominative	Nominative	
b5f90584-4210-4802-8097-5dce30bc0d8d	HCM 3001	Canterbury	Canterbury	51.27904	1.07992		Nominative	Nominative	
d3818763-7153-4e99-a68a-a9fd7f8f98dc	HCM 3155	Canterbury	Canterbury	51.27904	1.07992		Other		
010dc439-a54a-4867-94da-520cf485fe3a	HCM 758	Canterbury	Canterbury	51.27904	1.07992		Nominative	Nominative	
252def4b-a04e-413c-859e-d87471645896	HCM 1438	Cantilupo					Nominative	Nominative	
284fa776-f828-4948-be06-21cb4c990772	HCM 1439	Cantilupo					Nominative	Nominative	
9d8e84be-593e-4438-b1a7-27d3d2de31f9	HCM 1441	Cantilupo					Nominative	Nominative	Cantilupe
2908a18d-3fc1-4870-92f8-aaf259300caa	HCM 2673	Cantilupo					Nominative	Nominative	
67870697-e457-4020-8328-1b4c5b1f020f	HCM 1443	Cantulupo					Nominative	Nominative	
66d95877-cbab-45e8-93f0-2526799e1152	HCM 1438	Caple					Nominative	Nominative	
c0e60889-28ae-4dbe-a851-ff30d503aa8b	HCM 2596	Caple					Nominative	Nominative	
1b118a18-91e1-4447-8e5b-d7d53d63398f	HCM 2257	Carlisle	Carlisle	54.8951	-2.9382		Other		
2caa7f11-940a-4593-b1d8-e3732b5d1add	HCM 1506	Castrum lupi					Other		
dec44233-f3bd-43b7-a50a-79594a8bdead	HCM 758	Catfeld					Nominative	Nominative	
dfdb8f9e-c494-40aa-b1f2-54c96a39d430	HCM 2093	cathedral church of Hereford	Hereford	52.05684	-2.71482		Other	Building	
b04b8637-a3df-4484-b83a-58082c906e1c	HCM 3155	cathedral church of Hereford	Hereford	52.05684	-2.71482		Other	Building	
0498b0c3-f541-40a5-8df6-3038a81dc8c8	HCM 661	cathedral church of Hereford	Hereford	52.05684	-2.71482		Other	Building	
57bc918a-e8af-46af-a4de-3eb1ddd1e847	HCM 1652	Cestr'					Nominative	Nominative	Chester?
b762c992-6444-4de9-b0eb-8cd954fece86	HCM 1834	chapter-house					Other	Building	Chapter House of Hereford
42485772-42f6-4e0f-a21d-1374846c4c59	HCM 3165	chapter-house of the cathedral church of Hereford.	Hereford	52.05684	-2.71482		Other	Building	
6a6046ad-12ed-47db-a391-88ad8680c375	HCM 1975	Cherlton					Nominative	Nominative	Charleton?
6b76c3c2-cf9c-4009-abdd-957e73011589	HCM 1035	Cherring					Other		
c4df1747-d9c1-4c40-b66b-99df1f91d8ce	HCM 2159	Chichester	Chichester	50.83673	-0.78003		Nominative	Nominative	
eb3e015a-e1ef-454b-8f7a-7a4bb5936604	HCM 2226	Chirebury					Given at	Given at	Chirbury is a village in west Shropshire
acfd1146-cf3a-4d4b-bf24-fb0d305fc1c0	HCM 2463	church of Bayshan					Other	Building	
a6f581b0-44c7-4b6a-b4b0-a340f7c4e7e4	HCM 1441	church of Hereford	Hereford	52.05684	-2.71482		Other	Building	
e9c985bd-6f16-4a61-8259-67d56fd0b2fe	HCM 1974	church of Hereford					Other	Building	
28a8552c-74d8-44d1-816c-91e25363caf3	HCM 2159	church of Hereford					Other		
b9ce5f77-4b50-42cf-aaac-841c8ee370a8	HCM 2246	church of Hereford					Other		
39897165-a3fa-4681-a7b2-d2c196ff5758	HCM 2715	church of Hereford					Other		
2e2df104-f242-43e9-9444-4858149c75ec	HCM 2748	church of Hereford					Other	Building	
2190aabe-2b7f-49b9-86b7-39b7d257ce7b	HCM 2715	church of Lugwardin					Other		
4f866d8a-934f-4494-b7c5-9fadfb6ffcfb	HCM 181	church of Ros					Other	Building	
8b9d4e3b-7939-4357-9010-1c6e2fb810b5	HCM 201	church of St. Nicholas	St. Nicholas Acon	51.512433	-0.086964		Other		
b46c424a-6431-4b92-8fd2-f5cbf273b137	HCM 2879	Chyrchebroynton					Other		
339a99b3-b5ae-4043-93d3-4185de94fd69	HCM 1752	Cirescestre					Nominative	Nominative	Cirenchester?
5cc6ca71-b8c1-48ae-ad5d-7f3c8f970fd4	HCM 181	city of Hereford	Hereford	52.05684	-2.71482		Other		
a1234355-48b0-411d-9d7b-0edb87b97d46	HCM 946	Clehonger					Nominative	Nominative	
14d1863f-dbfd-492c-9e11-8d621b45615a	HCM 946	Clehonger					Other		
c7f1e7e1-3433-4b1e-9247-0cdffe7e1f3a	HCM 201	Clehungre					Nominative	Nominative	
d80c1234-7740-44ed-b3fb-2267848ddb53	HCM 2720	Clere					Nominative	Nominative	
01f1b456-5142-411c-bf83-df33f11b4cc3	HCM 670	Clewaresfelde					Other	Natural feature	
1d59ff52-fa65-43d1-8bc4-abd673e6fcfd	HCM 1657	Clifford	Clifford	52.1	-3.1		Nominative	Nominative	
25840eac-e2a3-490e-8cee-c1e31827bdd4	HCM 670	Clyntone					Nominative	Nominative	
d264d80b-ce80-44fa-b9c2-ab970636a8a5	HCM 2720	co. Hereford	Herefordshire (England)				Other		
eae85aaa-1340-4171-8614-7ff11c6d9b68	HCM 1247	Colcham				Property	Other	Property	
e8954b68-c24d-4556-aa5f-68b2441d326d	HCM 1439	Comminges	Saint-Bertrand-de-Comminges (France)				Nominative	Nominative	
8f6dd7d7-85db-4837-a63c-c0f97a6ae5b3	HCM 1441	Comminges	Saint-Bertrand-de-Comminges (France)				Nominative	Nominative	
d0dbd39c-0d83-4db7-bfa9-3196106a67c3	HCM 1442	Comminges	Saint-Bertrand-de-Comminges (France)				Nominative	Nominative	
9f022f4a-e756-4c94-91da-846e68cd98bb	HCM 2871	Comminges	Saint-Bertrand-de-Comminges (France)				Nominative	Nominative	
92587f92-80b5-41ae-9926-c3128a681dbe	HCM 1975	Copesleye					Other		
7b51e69e-a226-44c0-99ee-63a6c30443c5	HCM 1836	Corston	Corston	51.385	-2.44028		Nominative	Nominative	
42acb91d-3f33-494d-9ea5-be461bdd2fcd	HCM 1836	Corston	Corston	51.385	-2.44028		Other		
537965b8-b220-4182-ab69-6a72ce88e68f	HCM 2668	Cotinton					Nominative	Nominative	
cadbec79-a1c4-4584-b8ae-0ce1db6e6288	HCM 2670	Cotinton					Nominative	Nominative	
219f2cc7-2f2a-4087-a155-1a620d999635	HCM 2671	Cotinton					Nominative	Nominative	
1b3f9056-4cee-42db-8bf0-87d208d4bace	HCM 2718	Cotinton					Nominative	Nominative	
74408e15-0a76-4a13-b060-29ea97b4e933	HCM 3162	Coventry	Coventry	52.40656	-1.51217		Other		
24c910cc-3799-4018-85ec-acdb18ce90e8	HCM 755	Credeleye					Other		
97badc51-fac5-4ce4-93f1-d74ff9482655	HCM 1918	crose					Nominative	Nominative	
89293adb-c879-4260-b67d-b1f7528c9f0a	HCM 1485	cruce,	Cruce de Arinaga	27.87656	-15.42798		Nominative	Nominative	
88ef0aab-4b6d-46ea-8376-2695db9c397e	HCM 1679	Cubberleye					Other		Camberley?
8124705b-2582-4b80-8b41-9158c84a8d34	HCM 1622	Culn’ Roger'					Other		
84db435c-a2ae-4e9f-a0ef-1b91ce794b86	HCM 1746	Cuthbristl'					Other		
fcdbec06-2029-48a1-8b8f-2feff4f8d0b1	HCM 1975	Dan	Dan|Dan, Tel Dan/Tell el Qadi	33.24856	35.65252		Nominative	Nominative	
b989757f-a1df-41ea-a28b-8e682522004d	HCM 1505	de la Boxe					Nominative	Nominative	
fcc698c7-f47c-429f-8f06-1c6367911939	HCM 1247	de le Halle					Nominative	Nominative	
dfdaf8cd-1a2c-4b09-83bf-4986f635a716	HCM 1505	de Monem',					Nominative	Nominative	
c342c6a6-108e-43bf-a283-a713c6e39f66	HCM 2159	Dene	Dean, Forest of (England : Forest)				Nominative	Nominative	
643657c0-1032-4689-a32f-f87e545a68c1	HCM 1599	Derby,	Derby	-17.30295	123.62864		Nominative	Nominative	
9704f559-369c-45e9-8126-eb3f16258b90	HCM 681	Deuswalle					Other		
bec85ab6-80e8-49f6-8cfe-466246adb9b6	HCM 681	Deusweschirche					Other		
0d5f8b00-f33a-4d23-852e-e8934539d7dc	HCM 678	Deweswalle					Other		
a5124306-1271-4a55-b5f5-0f2b1f68a03a	HCM 680	Deweswalle					Given at	Given at	
7208851d-0a33-4fa2-a0d1-9090011aff1b	HCM 680	Deweswalle					Other		
4dc6aa72-8399-4eca-8fbd-ecddb4c5f624	HCM 1703	ditch					Other	Natural feature	
69bec56d-eb2f-448c-a643-2996febd1cf7	HCM 2260	Donecastr’	Doncaster	53.52285	-1.13116		Nominative	Nominative	
dc8bb949-7ca6-4e38-9f89-eb6889d3ac7d	HCM 1836	Dudelebury					Given at	Given at	
61f90e63-f2df-4d84-b978-9df357076073	HCM 1836	Dudelebury					Nominative	Nominative	
f80df86d-0d71-4686-b9af-6d1ed5b9b51c	HCM 1836	Dudelebury					Other		
e2f3fe98-ba8c-48b1-8e0f-1a30e59f0dda	HCM 2145	Dudelebury					Other		Church of Duddlebury, Shropshire
4f000508-54a5-4c7a-9650-68c02eb279d2	HCM 2593	Dudelebury					Other		
38a8d144-26f6-4142-aeba-a22073fbc5fb	HCM 2875	Dudelebury					Nominative	Nominative	
9690da50-e650-4759-bb0a-d0a4db2fb875	HCM 196	Dudeleye					Nominative	Nominative	
b483457a-7e73-415a-aaae-2f5e152ccc61	HCM 2226	Dunre					Nominative	Nominative	
f609a2e8-5b78-4120-8847-5b1907eaf90b	HCM 670	Elmore					Other		
7d5fc476-6f75-4095-8c34-223d385d6246	HCM 1442	England	England				Nominative	Nominative	
4e5fb75b-b010-4b9e-a64f-47f6d8d3d90f	HCM 1442	England	England				Other		
b0867487-1400-4dd3-a698-0878951f4c18	HCM 1443	England	England				Other		
121d6715-8408-4cc8-8a07-7675209bf83c	HCM 2096	England	England				Nominative	Nominative	
76ccca30-d578-40da-9e9b-a7d526529579	HCM 2597	England	England				Other		
0042d21d-6b5d-447b-9634-e0c5c2f0a2e4	HCM 2598	England	England				Other		
d8795b7f-61ed-473d-a417-8042c25946ca	HCM 2599	England	England				Other		
45f73672-0c80-4973-a6d6-1ad0038f4346	HCM 2600	England	England				Other		
b8d45d92-fce8-4cd9-8495-479bc40f4a62	HCM 2674	England	England				Nominative	Nominative	
4c62d935-6427-4701-b221-0a2010828d9a	HCM 2717	England	England				Other		
009d0ca0-7a4b-4370-ba10-9dbc5fe83a50	HCM 2721	England	England				Other		
9ec07e6c-d48e-4907-9cd1-9a223022fcac	HCM 2722	England	England				Other		
fb3b8140-e80c-4d79-9a3d-96e6b7cb3892	HCM 2723	England	England				Other		
fdbfe453-b67b-4039-b9a9-baac85a824b8	HCM 2873	Ereyntonia					Nominative	Nominative	Breinton
ff753a48-cb6c-4c59-af3f-ad25a895796a	HCM 1751	Estenouere					Nominative	Nominative	Eastnor, near Ledbury
c80fddd5-b296-46e6-b41a-9519172b5d85	HCM 1918	Estenouere					Nominative	Nominative	Eastnor, near Ledbury?
ba932740-fc63-42b9-8543-1e05ed2a80bf	HCM 1751	Estenoveresfeld					Other		a field
4334f2fd-a1f5-4cba-9a94-220755c1593e	HCM 1367	Evesham	Evesham	52.09237	-1.94887		Given at	Given at	
3e1a1003-020c-4e3d-954d-30d991b8bf6c	HCM 2717	Evesham	Evesham	52.09237	-1.94887		Other		
5065f1c9-a0b3-46e8-9480-abf10bb515ef	HCM 2879	five acres of arable land				Property	Other	Property	
1e681ee1-0acf-4be4-b32e-7020108d03de	HCM 3162	Flanders					Other		
51b64101-fee7-467b-8c72-4a7843329c05	HCM 1930	Florence	Florence	43.77925	11.24626		Nominative	Nominative	
df674853-9568-42d4-854d-0a1d494cf81b	HCM 2674	Florence	Florence	43.77925	11.24626		Nominative	Nominative	
dcb05bac-d072-41ce-9a99-4aa1e2523116	HCM 2665	Foston'					Nominative	Nominative	
3dd60912-0970-4b3d-b798-c9dcbe8ae651	HCM 2096	Fouleslough					Other		
1f625c23-04ea-4d62-a25a-2ebf29a890bb	HCM 593	Fowehop					Given at	Given at	Fownhope
5631ccd2-f5b1-4066-8765-f96a39dba205	HCM 593	Fowehop					Other		Fownhope
e71d0b47-9a57-4463-9d08-cefa56f88d75	HCM 1658	Freinelode					Other		
af6060fd-8247-4318-8aad-02932ef4b31a	HCM 2674	Friscobald'					Nominative	Nominative	Frescobaldi, which is a major family of Florence
198c0bbc-5d65-4492-b30e-366422d6af77	HCM 2464	Galuerhull					Nominative	Nominative	
a5137310-3bf8-4147-bfe2-21d26263ed3d	HCM 2871	Gardino					Nominative	Nominative	
82c675b6-dcc3-4cfd-99e7-e61344e79394	HCM 1169	Garlecroft					Other		
703d8ebd-c383-4aef-a8fa-b68ca79fed78	HCM 2096	Garlecroft					Other		
2d706a7b-ba02-4dbc-bff6-3f83300ef759	HCM 2876	Gerlecroftes					Other		
12f3e0b6-df16-4d89-9594-57b3fe3777fe	HCM 2463	Given in the chapter-house at Hereford					Given at	Building|Given at	
f2e8af97-1d27-4d90-a097-5ea6580ad411	HCM 2464	Given in the chapter-house at Hereford					Given at	Building|Given at	
773a3c01-4f25-4f46-9c70-12df479c997e	HCM 1438	Glouc'	Gloucester	51.86568	-2.2431		Nominative	Nominative	
a13d0541-90e9-43e0-9cf7-455b982e7694	HCM 1581	Gloucester	Gloucester	51.86568	-2.2431		Other		
a29cf629-75c6-47ac-b643-3c5bf7430c04	HCM 1599	Gloucester	Gloucester	51.86568	-2.2431		Other		
