Source	Target	Role
HCM 2669	la Barewe	Nominative
HCM 608	la Barewe	Nominative
HCM 1489	la Barewe	Nominative
HCM 174	la Barewe	Nominative
HCM 1974	la Barewe	Nominative
HCM 2874	la Barewe	Nominative
HCM 608	la Berne	Nominative
HCM 181	la Borcote	Nominative
HCM 1503	la Boxe	Nominative
HCM 2072	la Doune	Nominative
HCM 1247	la Felde	Nominative
HCM 608	la Felde	Nominative
HCM 2096	La haye	Nominative
HCM 608	la Hulle	Nominative
HCM 196	la Lastres	Nominative
HCM 946	la lowe	Nominative
HCM 1768	La Mar’	Nominative
HCM 589	la More	Nominative
HCM 1504	Landesteffan	Nominative
HCM 1505	Landesteffan	Other
HCM 150	land formerly of Cecilia de Badesshawe	Other
HCM 150	land formerly of Luke de Bergeueni,	Other
HCM 201	land of David de Rotherwas	Other
HCM 196	land of dominus Hugh the wheel-wright	Other
HCM 201	land of dominus Walter Oghwelman	Other
HCM 196	land of grantor	Other
HCM 63	land of John de Kemeseye	Other
HCM 174	land of John de la Barwe	Other
HCM 186	land of John le Chapmon	Other
HCM 119	land of John le Werour	Other
HCM 174	land of John le Werour	Other
HCM 186	land of John le Werour	Other
HCM 2876	land of John Pride	Other
HCM 186	land of Nicholas le Barbour	Other
HCM 2876	land of the grantee	Other
HCM 150	land of the parson of St. Nicholas in Hereford	Other
HCM 119	land of the said Hugh	Other
HCM 2876	land of the said Thomas	Other
HCM 2876	land of Thomas Thoubaud	Other
HCM 174	land of Walter the fisherman	Other
HCM 2260	Langele	Given at
HCM 623	Lank'	Given at
HCM 1506	Lanleweny	Other
HCM 1506	Lantefey	Other
HCM 1506	Lanteylau Vaur	Other
HCM 1169	Lanthon	Given at
HCM 2676	Lanthony Prima in Wales	Other
HCM 1264	Lanton	Nominative
HCM 1265	Lanton	Nominative
HCM 1281	Lanton	Nominative
HCM 946	la Oldehulle	Nominative
HCM 2151	la Pipe	Other
HCM 1918	la Pole	Nominative
HCM 2096	la Pounde	Nominative
HCM 2873	la Pounde	Nominative
HCM 1621	Lassindon’	Nominative
HCM 589	la Stepple	Nominative
HCM 2246	La Suze	Other
HCM 680	La Walle	Nominative
HCM 1918	la Wode	Nominative
HCM 1734	Ledbury	Given at
HCM 1734	Ledbury	Other
HCM 1918	Ledbury	Given at
HCM 1918	Ledbury	Other
HCM 287	Ledbury	Given at
HCM 352	Ledbury	Given at
HCM 1658a	Ledbury	Nominative
HCM 1734	Ledbury	Other
HCM 1751	Ledbury	Nominative
HCM 1751	Ledbury	Other
HCM 201	Ledbury	Nominative
HCM 2096	Ledbury	Nominative
HCM 209	Ledbury	Nominative
HCM 218	Ledbury	Nominative
HCM 290	Ledbury	Nominative
HCM 700	Ledbury	Nominative
HCM 290	Ledebury Forincec	Other
HCM 2093	Ledecote	Nominative
HCM 1247	le Hale	Nominative
HCM 1485	le Hale	Nominative
HCM 1751	le Longemor	Other
HCM 678	Lenhales	Nominative
HCM 3162	Lichfield	Other
HCM 1652	Lincoln	Given at
HCM 1834	Lincoln	Nominative
HCM 1851	Lincoln	Nominative
HCM 2597	Lincoln	Other
HCM 2598	Lincoln	Other
HCM 2599	Lincoln	Other
HCM 2600	Lincoln	Other
HCM 2717	Lincoln	Other
HCM 2721	Lincoln	Other
HCM 2722	Lincoln	Other
HCM 2723	Lincoln	Other
HCM 3155	Lincoln	Other
HCM 1780	Llandaff	Nominative
HCM 2159	Llandaff	Nominative
HCM 2217	Llandaff	Nominative
HCM 623	Llandaff	Given at
HCM 623	Llandaff	Other
HCM 1485	Lodelawe	Nominative
HCM 378	Lodelawe	Given at
HCM 1264	Logwardyn	Nominative
HCM 1265	Logwardyn	Nominative
HCM 1281	Logwardyn	Nominative
HCM 1035	London	Given at
HCM 1368	London	Other
HCM 1439	London	Given at
HCM 1441	London	Nominative
HCM 1442	London	Nominative
HCM 1442	London	Other
HCM 1503	London	Given at
HCM 1503	London	Nominative
HCM 1599	London	Given at
HCM 1658	London	Given at
HCM 1780	London	Given at
HCM 1834	London	Given at
HCM 1834	London	Nominative
HCM 1834	London	Other
HCM 1851	London	Nominative
HCM 1851	London	Other
HCM 2576	London	Given at
HCM 2579	London	Given at
HCM 2581	London	Given at
HCM 2595	London	Given at
HCM 2597	London	Given at
HCM 2597	London	Other
HCM 2598	London	Given at
HCM 2598	London	Other
HCM 2599	London	Given at
HCM 2599	London	Other
HCM 2600	London	Other
HCM 2667	London	Given at
HCM 2673	London	Given at
HCM 2714	London	Given at
HCM 2717	London	Other
HCM 2721	London	Given at
HCM 2721	London	Other
HCM 2722	London	Given at
HCM 2722	London	Other
HCM 2723	London	Given at
HCM 2723	London	Other
HCM 2871	London	Nominative
HCM 2871	London	Other
HCM 3162	London	Other
HCM 2151	Longastauton'	Other
HCM 383	Longedenesfeld	Other
HCM 1836	Longestaunton'	Nominative
HCM 1836	Longestaunton'	Other
HCM 2145	Longestaunton'	Other
HCM 2593	Longestaunton'	Other
HCM 1485	Lugwardin	Nominative
HCM 2672	Lugwardin	Nominative
HCM 385	Lutelhulfeld	Other
HCM 196	Luyde	Nominative
HCM 2159	Lydeneye	Other
HCM 2870	Lydeneye	Other
HCM 623	Lydeneye	Other
HCM 3162	Lyons	Other
HCM 1834	M'ndene	Nominative
HCM 1489	Maddeleye	Nominative
HCM 2096	Maddeleye	Nominative
HCM 2874	Maddeleye	Nominative
HCM 715	Maddeleye	Other
HCM 661	Magna Marcleye	Nominative
HCM 1851	Maldon’	Nominative
HCM 1506	manor at Castrum lupi	Other
HCM 593	Marlecroft	Other
HCM 1751	Mastinge	Other
HCM 1657	Masyntone	Nominative
HCM 2751	Meltone Mounbray	Nominative
HCM 1441	Mende	Nominative
HCM 1442	Mende	Nominative
HCM 1621	Menstr’ in island of Thanet	Given at
HCM 384	Middelfeld	Other
HCM 564	Middelfeld	Other
HCM 1503	Monemowe	Nominative
HCM 1506	Monmouth	Other
HCM 209	Moniton	Nominative
HCM 623	Monmouth	Nominative
HCM 1658	Montignac	Other
HCM 2059	Monyton	Nominative
HCM 2096	Monyton	Nominative
HCM 218	Monyton	Nominative
HCM 412	Monyton	Nominative
HCM 1169	Mora	Other
HCM 700	Mora	Nominative
HCM 1489	Mora Canonicorum	Other
HCM 670	Morcote	Nominative
HCM 385	Morehulfeld	Other
HCM 1313	Morgan	Given at
HCM 1929	Mortemer	Nominative
HCM 670	Munstreworthe	Nominative
HCM 623	Nasse	Nominative
