source	source_id	relation	target	target_id
dean of Hereford	dcb738ca-8ce2-41e8-804a-f735b27d0f9b	Job	subcollector of the three years’ tenth	1d8930de-0746-4d7c-875c-bc0c9ec56b4a
clerk of the dean and chapter of Hereford	d39d635b-4ac4-42b4-9709-d3e783979dc7	Job	Robert de Cotinton	3450514c-88e2-4415-a9ab-6e936a35199c
clerk of the dean and chapter of Hereford	71072817-14b1-4a64-93eb-ae42933a5b4b	Job	Robert de Cotinton	b936a64c-9856-4255-928e-50395bc4b75e
clerk	fda92731-28b8-48a7-87db-48bdd1edf531	Job	Gilbert de Bruera	1c655756-3fa8-4b95-8fb8-b0cc17a32f16
merchants	ebc968db-bc02-4fa6-91c7-4f1206344d20	Job	Emericus de Friscobald	80e2ee95-abff-4514-8a76-17da99d642a5
merchants	ebc968db-bc02-4fa6-91c7-4f1206344d20	Job	the society of Friscobaldi of Florence	01d47a39-8109-4785-a463-cd61aab6ad16
vicar of the church of Lugwardyn	beafb803-3a7b-467f-bf2e-bfbcd1a74e7f	Job	John Bardulf	a0049677-368a-43aa-8cf9-4d3609cbc4e7
notary in the inquiry concerning the miracles of Thomas de Cantilupe	053ed899-de38-4686-bc50-8524f8398781	Job	Gilbert de Bruera	1c655756-3fa8-4b95-8fb8-b0cc17a32f16
baker	a7b895e2-ec41-492e-afa0-6c7c3447509a	Job	John de Ledeburi	26f0c8d8-8919-4907-b15c-5ee1436a12dc
bailiff	8aff2a55-7a36-47a3-9070-f0c34eaeb29f	Job	Richard Moniword	340460df-6187-47e3-a3e1-27085d3e3043
bailiff of the bishop of Hereford	970fba98-b71d-4995-90ff-4cdd90da9a46	Job	Thomas Theubaud	5fc3af6c-d665-4073-be36-a01bb9ed1673
bailiff of the dean and chapter of Hereford	155c3496-305a-4e77-bcf4-7164674f2e01	Job	Richard de la Hay	1d2c2a32-914e-4eff-ae3a-35ef32476600
le Werrour	d5ba9056-9355-4162-8123-f9716723d401	Job	Philip le Werrour	18c3de82-6ac4-4be9-a7c9-c528a868207d
the true patron of the church	0aca45fd-a705-4e22-ba7f-de5c712dd1a5	Job	Licent ' de Morgan	c7b391bf-374d-4b5b-b234-342495e75698
clerk	c2445f45-63f7-4867-924e-63dafa26d1d6	Job	John Nicholas	9a4c66f4-c552-4ee9-a40e-086308a6ad90
the convent of the same place	f71619cf-e8ee-4d3f-a5b6-1fc93ed7cb27	Job	fellow-monk	15a2abeb-d52d-4292-8311-8d9fd71c47de
fellow-monk	15a2abeb-d52d-4292-8311-8d9fd71c47de	Job	John de Sancto Briavello	5bbb6adf-af21-4b96-b930-33bf83acf8a5
fellow-monk	15a2abeb-d52d-4292-8311-8d9fd71c47de	Job	John, prior of the cathedral church of Worcester	1a2d2c99-c6f0-4d2e-86bc-2415600f2411
incumbent de facto	9618bb84-1352-40d4-b1b4-721af09bb89d	Job	John Toppe	099649c9-4d0c-487c-8348-e9dc3d6b4234
citizen of Hereford	5b78b129-2127-4609-87be-1062bccec7cf	Job	John de Retherwas	69014c93-6233-4ddf-9430-6fd24a6dbc87
goldsmith	9770b0b9-bd14-482e-a8f1-406aea97cb2f	Job	William de Cirescestre	555e6c6c-ae8e-4d1e-ba91-9ac1ae61a243
rectory of Avene	472a6f30-e29d-4b0d-8c9b-94d322128f2e	Job	John Toppe	099649c9-4d0c-487c-8348-e9dc3d6b4234
clerk	f1473c49-de7f-456e-bd88-6af65559eade	Job	Thomas de Penebrugg	c71fbe90-1ed1-482e-982a-59507d0621fa
rectory of Avene	472a6f30-e29d-4b0d-8c9b-94d322128f2e	Job	Thomas de Penebrugg	c71fbe90-1ed1-482e-982a-59507d0621fa
rectory of Avene	472a6f30-e29d-4b0d-8c9b-94d322128f2e	Job	John Nicholas	9a4c66f4-c552-4ee9-a40e-086308a6ad90
Carpentar	3b0a966c-edec-41ce-94a5-b8a4a46c582d	Job	Robert Carpentar	1e32bf78-759d-40ad-92b5-fe9fa0094fc9
