UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,JOB,COMMENTS
UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,,COMMENTS
cf9e5ac6-713a-4036-93fb-b6b722b7d48d,HCM_755.txt,Richard de Upton,char-offset:81,PERSON,,,,,,,,Principal,,called de Credeleye|Vicar in the greater church of Hereford
acfe84b5-afa6-4fdd-9a56-902651136103,HCM_755.txt,Upton’,char-offset:92,PLACE,http://sws.geonames.org/4953794,Upton,,42.17454,-71.60229,,UNVERIFIED,Nominative,,
be6e2246-02e7-4ca8-b06d-2d7eedb3a051,HCM_755.txt,chaplain,char-offset:100,,,,,,,,,Job,,
24c910cc-3799-4018-85ec-acdb18ce90e8,HCM_755.txt,Credeleye,char-offset:120,PLACE,,,,,,,UNVERIFIED,,,
a6f350aa-9a93-4b7c-b434-9fac2fb237b2,HCM_755.txt,Hereford,char-offset:162,PLACE,http://sws.geonames.org/2647074,Hereford,,52.05684,-2.71482,,UNVERIFIED,,,
b277ae17-3f9f-4e6a-9c93-c0538802eb2a,HCM_755.txt,Dominus James de Henle,char-offset:175,PERSON,,,,,,,,Principal,,Canon of Hereford
e2dde99c-a395-4657-962c-093b5fcc29c9,HCM_755.txt,Henle,char-offset:192,PLACE,,,,,,,UNVERIFIED,Nominative,,
5712ba2a-120b-4338-ae7b-39099b199b43,HCM_755.txt,Hereford,char-offset:208,PLACE,http://sws.geonames.org/2647074,Hereford,,52.05684,-2.71482,,UNVERIFIED,,,
b6d644b4-774b-450f-981c-4b81270b9731,HCM_755.txt,Overebroynton,char-offset:295,PLACE,,,,,,,UNVERIFIED,,,
e35ec1fc-0618-4580-b347-efcd0681d573,HCM_755.txt,dean and chapter of Hereford,char-offset:328,PERSON,,,,,,,,Collective,,
3dbdd05f-81cf-48d5-96c3-4ef5816a3cbf,HCM_755.txt,Thomas le Breoton,char-offset:399,PERSON,,,,,,,,,canon of Hereford,
39af0b99-acbc-4ff2-aded-35c8ca91cccb,HCM_755.txt,canon of Hereford,char-offset:428,,,,,,,,,Job,,
2db8f061-864d-4c65-ab66-1a672dd77d7a,HCM_755.txt,Thomas,char-offset:488,PERSON,,,,,,,,,,
239fc928-800b-480b-ae31-f23377dcc50d,HCM_755.txt,Richard,char-offset:505,PERSON,,,,,,,,,,
6e560258-91bd-4579-8780-407a3b8971f7,HCM_755.txt,Ralph called le Blake de la Oldehull,char-offset:530,PERSON,,,,,,,,,,
b945b10b-3ca9-40e9-b6d2-e4ee7a1359b7,HCM_755.txt,Thomas,char-offset:605,PERSON,,,,,,,,,,
62a9e9d2-22b6-4b7c-933c-6d71a8a20196,HCM_755.txt,John Arewy,char-offset:622,PERSON,,,,,,,,,,
9a8e9f38-9d11-477f-94d7-c04fbbd1f599,HCM_755.txt,fee of the dean and chapter in Broynton,char-offset:640,PERSON,,,,,,,,Collective,,
5712a583-7cea-442e-9f3d-c53c6a30027d,HCM_755.txt,Broynton,char-offset:671,PLACE,,,,,,,UNVERIFIED,,,
1f1bbb97-32ef-4f15-90ff-0f1e3f633834,HCM_755.txt,Thomas,char-offset:739,PERSON,,,,,,,,,,
f1f80b58-f4e0-4c59-931a-f561fd5861ce,HCM_755.txt,Gilbert Whyty,char-offset:756,PERSON,,,,,,,,,,
986d1bee-38b9-4c52-af89-100b0828ecd3,HCM_755.txt,Isabella,char-offset:814,PERSON,,,,,,,,,,
024847ae-7caa-4566-9ed4-d7f8fee302de,HCM_755.txt,John called le Schypwerd,char-offset:836,PERSON,,,,,,,,,,
25d9067d-29f1-4258-a230-4988f337116a,HCM_755.txt,John,char-offset:917,PERSON,,,,,,,,,,
3f1d857b-2123-4dce-a47f-351aa15d93e6,HCM_755.txt,Gilbert Whyty,char-offset:930,PERSON,,,,,,,,,,
7d034a3b-6ac3-4854-af1a-160899aa47eb,HCM_755.txt,William le Orleton,char-offset:1013,PERSON,,,,,,,,,,
55785e1c-dffc-4be2-a71d-5d51b07ecea0,HCM_755.txt,Smalthornesfeld,char-offset:1053,PLACE,,,,,,,UNVERIFIED,,,
b1fb44fc-d3cf-405a-8e5c-6a86ba56b3aa,HCM_755.txt,John Penebrugg,char-offset:1106,PERSON,,,,,,,,,,
86130169-56b6-4ca6-b7cf-0b9334a5e90d,HCM_755.txt,Broynton,char-offset:1170,PLACE,,,,,,,UNVERIFIED,,,
6c029a8d-24b3-4f6c-ba84-66e95cdb8a12,HCM_755.txt,Lugg,char-offset:1233,PERSON,,,,,,,,,,
84781d83-d5d3-4237-b0de-b46da698fb7c,HCM_755.txt,Broynton,char-offset:1288,PLACE,,,,,,,UNVERIFIED,,,
102f1c0a-b148-4ea5-a33b-50ae0a44eab6,HCM_755.txt,Hereford,char-offset:1308,PLACE,http://sws.geonames.org/2647074,Hereford,,52.05684,-2.71482,,UNVERIFIED,Given at,,
