Source	Target	Role
HCM 1438	canon in the church of Hereford	Other
HCM 1023	canon of Hereford	Other
HCM 2879	canon of Hereford	Other
HCM 1417	canon of Hereford	Other
HCM 3001	canons who are personally resident in the said church or who are absent by licence of the chapter furthering the interests of the said church	Other
HCM 1441	cardinals	Other
HCM 201	Cecilia	Principal
HCM 150	Cecilia de Badesshawe	Other
HCM 1367	chamberlain	Other
HCM 1438	chancellor of the church of Hereford	Other
HCM 1417	chaplain	Other
HCM 1438	chaplain	Other
HCM 1439	chaplain and envoy of the pope	Other
HCM 597	chapter of Hereford	Principal
HCM 1438	chapter of Hereford	Other
HCM 2584	chapter of Hereford	Other
HCM 623	chapter of Hereford	Principal
HCM 623	chapter of Llandaff	Principal
HCM 432	chapter of the same	Principal
HCM 186	chapter of the same	Principal
HCM 746	Church of St. Ethelbert of Hereford and the chapter or the same	Principal
HCM 758	Clement de Paston	Other
HCM 1417	clerk of the diocese of Hereford and notary public	Other
HCM 564	Coblynton	Other
HCM 2871	Couen	Other
HCM 1523	Cradok' ap Morgan	Principal
HCM 150	Dauid de Retherwas	Other
HCM 150	Dauid de Retherwas	Witness
HCM 1503	David, bishop of St. David's	Principal
HCM 1504	David, bishop of St. David's	Principal
HCM 1505	David, bishop of St. David's	Principal
HCM 1768	David ap Howel Vachan	Principal
HCM 201	David de Rotherwas	Witness
HCM 405	David de Rotherwas	Witness
HCM 406	David de Rotherwas	Witness
HCM 593	David the smith	Witness
HCM 1529	Davyd de la Barre	Witness
HCM 1441	deacon of St. Nicholas in the Tulliam prison	Other
HCM 2260	dean and chapter	Other
HCM 2580	dean and chapter	Other
HCM 2671	dean and chapter	Principal
HCM 2670	dean and chapter	Principal
HCM 1851	dean and chapter	Other
HCM 1836	dean and chapter	Other
HCM 1854	dean and chapter	Other
HCM 1834	dean and chapter	Other
HCM 1049	dean and chapter	Other
HCM 2668	dean and chapter	Principal
HCM 2665	dean and chapter	Principal
HCM 2669	dean and chapter	Principal
HCM 2072	dean and chapter	Other
HCM 2096	dean and chapter	Other
HCM 2581	Dean and chapter of Hereford	Other
HCM 2579	Dean and chapter of Hereford	Other
HCM 3165	Dean and chapter of Hereford	Other
HCM 3162	Dean and chapter of Hereford	Other
HCM 755	Dean and chapter of Hereford	Other
HCM 715	Dean and chapter of Hereford	Principal
HCM 700	Dean and chapter of Hereford	Other
HCM 2722	Dean and chapter of Hereford	Principal
HCM 2748	Dean and chapter of Hereford	Principal
HCM 2721	Dean and chapter of Hereford	Principal
HCM 2723	Dean and chapter of Hereford	Principal
HCM 2600	Dean and chapter of Hereford	Principal
HCM 2663	Dean and chapter of Hereford	Principal
HCM 2599	Dean and chapter of Hereford	Principal
HCM 2592	Dean and chapter of Hereford	Principal
HCM 2589	Dean and chapter of Hereford	Principal
HCM 2590	Dean and chapter of Hereford	Principal
HCM 2751	Dean and chapter of Hereford	Principal
HCM 1848	Dean and chapter of Hereford	Other
HCM 1854	Dean and chapter of Hereford	Other
HCM 1834	Dean and chapter of Hereford	Other
HCM 1049	Dean and chapter of Hereford	Other
HCM 2598	Dean and chapter of Hereford	Principal
HCM 2597	Dean and chapter of Hereford	Principal
HCM 1367	Dean and chapter of Hereford	Principal
HCM 1366	Dean and chapter of Hereford	Principal
HCM 1441	Dean and chapter of Hereford	Other
HCM 1439	Dean and chapter of Hereford	Principal
HCM 2718	Dean and chapter of Hereford	Principal
HCM 2717	Dean and chapter of Hereford	Principal
HCM 2716	Dean and chapter of Hereford	Principal
HCM 2719	Dean and chapter of Hereford	Principal
HCM 2713	Dean and chapter of Hereford	Principal
HCM 2675	Dean and chapter of Hereford	Principal
HCM 2588	Dean and chapter of Hereford	Other
HCM 2749	Dean and chapter of the aforesaid church	Principal
HCM 2712	Dean and chapter of the aforesaid church	Principal
HCM 946	Dean and chapter of the cathedral church of St. Ethelbert of Hereford	Principal
HCM 2591	Dean and chapter of the church at Hereford	Principal
HCM 2673	Dean and chapter of the church of Hereford	Principal
HCM 2601	Dean and chapter of the church of Hereford	Principal
HCM 2750	Dean and chapter of the church of Hereford	Principal
HCM 2880	Dean and chapter of the church of Hereford	Other
HCM 2594	Dean and chapter of the church of Hereford	Other
HCM 2596	Dean and chapter of the church of Hereford	Other
HCM 2666	Dean and chapter of the church of Hereford	Principal
HCM 1489	Dean and chapter of the church of Saint Ethelbert at Hereford	Principal
HCM 2585	dean and chapter of the church of St. Ethelbert	Other
HCM 2251	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2260	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2576	Dean and chapter of the church of St. Ethelbert of Hereford	Other
HCM 2720	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 1974	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2593	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2779	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2537	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2676	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2714	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2667	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 1281	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 1265	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 1264	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 661	Dean and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2059	Dean and chapter of the said church	Principal
HCM 2674	dean of Hereford	Principal
HCM 1311	Devyd de Ia Bere	Witness
HCM 1169	Dominus Hugh de Brehousa	Principal
HCM 755	Dominus James de Henle	Principal
HCM 352	Dominus John de Kemeseya	Principal
HCM 2464	Dominus Roger Broun	Principal
HCM 2870	Dominus Willam the Young	Principal
HCM 432	Dowinus William Mortimer	Principal
HCM 1683	Edith	Other
HCM 1682	Edith	Other
HCM 681	Edmund le Walsse	Witness
HCM 2593	Edw. II	Other
HCM 1652	Edward I	Other
HCM 3162	Edward I	Other
HCM 1441	Edward I	Other
HCM 2251	Edward II	Principal
HCM 2260	Edward II	Principal
HCM 2246	Edward II	Principal
HCM 1652	Edward II	Principal
HCM 2674	Edward II	Principal
HCM 3165	Edward II	Other
HCM 1930	Edward II	Principal
HCM 1929	Edward II	Principal
HCM 1854	Edward II	Other
HCM 2947.G	Edward III	Principal
HCM 1281	Eleanor	Principal
HCM 1005	Elianora	Principal
HCM 1005	Elianora, wife of Roger Rac	Principal
HCM 1736	Elias de Bekynham	Witness
HCM 1311	Elias de Roilly	Witness
HCM 1313	Elias de Roilly	Witness
HCM 1621	Ellen	Other
HCM 385	Ellen	Other
HCM 385	Ellen, daughter of Robert de Compton	Principal
HCM 623	Ellis	Other
HCM 623	Ellis (Elyas) de Albriton'	Other
HCM 290	Ellis de Walsnede	Scribe
HCM 2674	Emericus de Friscobald	Other
HCM 559	Emma	Principal
HCM 1441	episcopus Portuen	Other
HCM 203	Euerard	Principal
HCM 2873	Everard	Other
HCM 2873	Everard son of John le Clerk'	Principal
HCM 755	fee of the dean and chapter in Broynton	Other
HCM 1441	fifteen other bishops and seven abbots	Other
HCM 1581	Frater John	Principal
HCM 1169	Frater John de Kyngeston	Principal
HCM 608	Geoffrey	Other
HCM 3155	Geoffrey de Brampton	Scribe
HCM 608	Geoffrey de la Hulle	Other
HCM 1918	Geoffrey de la Wode	Other
HCM 661	Geoffrey de Sancto Albano	Other
HCM 2871	Gerard de Sisiriaco	Other
HCM 2872	Gilbert, bishop of Annaghdown (Enachdunensis)	Principal
HCM 2874	Gilbert Blod	Witness
HCM 2873	Gilbert Blod	Witness
HCM 90	Gilbert Blod	Witness
HCM 119	Gilbert Blod	Witness
HCM 63	Gilbert Blod	Witness
HCM 203	Gilbert Blod	Witness
HCM 469	Gilbert Blod	Witness
HCM 201	Gilbert Blod	Witness
HCM 1485	Gilbert Blod	Witness
HCM 1489	Gilbert Blod	Witness
HCM 3001	Gilbert de Bolyngehope	Witness
HCM 2673	Gilbert de Bruera	Principal
HCM 946	Gilbert de la lowe	Witness
HCM 758	Gilbert de Raigate, rector of the church of Brugge	Witness
HCM 2879	Gilbert Ives	Witness
HCM 287	Gilbertle Coliar	Other
HCM 196	Gilbert le Gamit' (Gaunt'?), bailiff of the fee of the hospital	Witness
HCM 755	Gilbert Whyty	Other
HCM 2750	Giles, clerk, called the tailor, organ-keeper	Principal
HCM 2601	Giles, clerk, called the tailor (cissor)	Principal
HCM 2594	Giles, clerk, called the tailor (cissor)	Principal
HCM 1169	Giles le Deyare	Other
HCM 2096	Giles le Deyare	Other
HCM 2096	Giles le Deyare	Witness
HCM 1734	Giles le Ferur	Witness
HCM 352	Godfrey de la Leye	Witness
HCM 1505	Gregory, perpetual vicar of Landesteffan	Other
HCM 1504	Gregory, perpetual vicar of the church of Landesteffan	Principal
HCM 290	Grimbald Pauncefot	Other
HCM 1523	Gruff[ith] ap Oweyn	Principal
HCM 1443	Guillelmus de Bergamo	Other
HCM 1439	Guillelmus Testa	Principal
HCM 1443	H. de Shorn	Principal
HCM 2072	Hamon de Sandwyco	Principal
HCM 946	Harry de Penebrugge, knight	Witness
HCM 1265	Henry	Principal
HCM 1264	Henry	Principal
HCM 661	Henry	Other
HCM 1599	Henry de Derby	Principal
HCM 2871	Henry de Gardino	Other
HCM 2675	Henry de Henor	Principal
HCM 378	Henry de Heyton	Principal
HCM 469	Henry de Lugwardyn	Witness
HCM 773	Henry de Orleton	Witness
HCM 1752	Henry de Orleton	Witness
HCM 207	Henry de Orleton	Witness
HCM 700	Henry de Orleton	Witness
HCM 1417	Henry de Schorn	Witness
HCM 1443	Henry de Schorn	Other
HCM 2879	Henry de Underwode	Witness
HCM 207	Henry de Welbeton	Other
HCM 1657	Henry de Wyke	Witness
HCM 119	Henry Galant	Other
HCM 219	Henry le Bakare	Witness
HCM 1836	Henry le Forester de Corston'	Other
HCM 290	Henry le Waleys	Witness
HCM 661	Henry le Waleys de Magna Marcleye	Principal
HCM 1281	Henry le Yonge	Other
HCM 1265	Henry le Yonge	Other
HCM 1264	Henry le Yonge	Other
HCM 2599	Henry Nasard	Other
HCM 196	Henry the dyer	Witness
HCM 1683	Herbert	Other
HCM 1682	Herbert	Other
HCM 1683	Herbert atte Mulle	Other
HCM 1682	Herbert atte Mulle	Other
HCM 2096	his parents	Other
HCM 2996	his servant	Other
HCM 1768	Howel vab	Principal
HCM 1703	Hugh	Other
HCM 90	Hugh	Other
HCM 119	Hugh	Other
HCM 207	Hugh	Principal
HCM 746	Hugh	Witness
HCM 593	Hugh	Other
HCM 1485	Hugh	Other
HCM 412	Hugh Bade	Other
HCM 1485	Hugh Bade	Principal
HCM 755	Hugh called le Schipward	Witness
HCM 2096	Hugh de Brehousa	Other
HCM 469	Hugh de Breusa	Principal
HCM 1417	Hugh de Breusa	Witness
HCM 1438	Hugh de Breusa	Other
HCM 2093	Hugh de Breynton	Principal
HCM 2145	Hugh de Bromfeld	Other
HCM 2876	Hugh de Browse	Other
HCM 1281	Hugh de Lanton	Witness
HCM 1265	Hugh de Lanton	Witness
HCM 1264	Hugh de Lanton	Witness
HCM 90	Hugh de Monyton	Other
HCM 63	Hugh de Monyton	Other
HCM 209	Hugh de Monyton	Witness
HCM 218	Hugh de Monyton	Witness
HCM 2877	Hugh de Monyton	Other
HCM 412	Hugh de Monyton	Principal
HCM 2096	Hugh de Monyton	Witness
HCM 2059	Hugh de Monyton	Other
HCM 1734	Hugh de Sothynton	Principal
HCM 758	Hugh de Thornhagh	Scribe
HCM 3165	Hugh de Thornhagh	Scribe
HCM 3155	Hugh de Thornhagh	Scribe
HCM 3001	Hugh de Thornhagh	Other
HCM 153	Hugh de Wormele	Witness
HCM 209	Hugh de Wormele	Witness
HCM 1621	Hugh de Wygorn	Other
HCM 1929	Hugh Hakelute	Other
HCM 608	Hugh Iues	Witness
HCM 564	Hugh le Rede	Other
HCM 564	Hugh le Rede	Witness
HCM 2879	Hugh le Schypward	Witness
HCM 608	Hugh le Shipward	Witness
HCM 219	Hugh Leuioth	Other
HCM 119	Hugh Leuioth	Other
HCM 1657	Hugh Odierne	Witness
HCM 1621	Hugh Putteleye	Other
HCM 378	Hugh Rondulf	Other
HCM 153	Hugh son of Hugh Trone de Hereford	Principal
HCM 1703	Hugh son of Philip	Other
HCM 1703	Hugh son of Philip	Scribe
HCM 597	Hugh son of William le Stedemon de Ros, clerk	Principal
HCM 196	Hugh the wheel-wright (rotar'), chaplain	Other
HCM 2874	Hugh Troue	Witness
HCM 153	Hugh Troue	Other
HCM 2876	Hugh Troue	Witness
HCM 608	Hugh Troue	Other
HCM 1485	Hugh Troue	Witness
HCM 1489	Hugh Troue	Witness
HCM 1768	Ievan ap Howel Vachan	Principal
HCM 383	Ioelus de Herte launde	Witness
HCM 755	Isabella	Other
HCM 589	Isabel wife of the said William	Principal
HCM 386	Ivellus de Hertlannde	Witness
HCM 1443	J., dean	Principal
HCM 2674	J. de Sandale	Scribe
HCM 181	J[ohn], dean, and chapter of the church of St. Ethelbert of Hereford	Principal
HCM 2159	J[ohn de Monmouth], bishop of Llandaff	Principal
HCM 758	James de Berkeley	Principal
HCM 1848	James de Henle	Other
HCM 181	James de Henle, rector of the church of Ros	Principal
HCM 1610	John	Other
HCM 1683	John	Principal
HCM 1746	John	Principal
HCM 90	John	Other
HCM 63	John	Other
HCM 1768	John	Other
HCM 2145	John	Other
HCM 3162	John	Scribe
HCM 3180	John	Principal
HCM 3008	John	Other
HCM 3001	John	Other
HCM 218	John	Principal
HCM 755	John	Other
HCM 681	John	Other
HCM 1929	John	Other
HCM 608	John	Other
HCM 608	John	Other
HCM 609	John	Other
HCM 1417	John	Principal
HCM 1679	John	Other
HCM 1657	John	Principal
HCM 1682	John	Principal
HCM 1658	John	Principal
HCM 1441	John	Other
HCM 352	John	Other
HCM 405	John	Principal
HCM 406	John	Principal
HCM 1523	John	Other
HCM 2096	John	Principal
HCM 1622	John, abbot	Principal
HCM 1780	John, bishop of Llandaff	Principal
HCM 1059	John, bishop of Llandaff	Other
HCM 2875	John, dean	Principal
HCM 597	John, dean	Principal
HCM 2464	John, dean of the church of Hereford	Principal
HCM 746	John, prior, and convent of Wenlok	Principal
HCM 1754	John, prior of the cathedral church of Worcester	Principal
HCM 1504	John, rector of the church of Penbray	Principal
HCM 1505	John, rector of the church of Penbray	Principal
HCM 623	John [of Monmouth]	Principal
HCM 2159	John | son of] John de Fontyton	Principal
HCM 773	John Alkin	Witness
HCM 150	John Alkin	Other
HCM 755	John Arewy	Other
HCM 1918	John ate crose	Witness
HCM 1683	John atte Mulle	Other
HCM 1682	John atte Mulle	Principal
HCM 2672	John Bardulf	Principal
HCM 2598	John Barwe	Principal
HCM 1768	John Batun	Witness
HCM 385	John Batun	Other
HCM 384	John Batun	Principal
HCM 1529	John Batun	Witness
HCM 1679	John Bele	Other
HCM 1679	John Bele de Wydyngdon	Principal
HCM 773	John be Torbervile, knight	Other
HCM 1974	John Bibel	Other
HCM 2715	John Bordulf', perpetual vicar of the church of Lugwardin	Principal
HCM 680	John Boter	Witness
HCM 3162	John Bouhs	Scribe
HCM 3180	John Broche	Other
HCM 383	John called Batun	Principal
HCM 755	John called le Schypwerd	Other
HCM 1918	John Cayss	Witness
HCM 386	John Crok	Witness
HCM 1736	John de Acle	Principal
HCM 1417	John de Almalia	Scribe
HCM 2871	John de Aqua Blanca	Other
HCM 3198	John de Aqua Blanca	Principal
HCM 2870	John de Aqua Blanca	Other
HCM 432	John de Aqua Blanca	Principal
HCM 2463	John de Aqua Blanca	Principal
HCM 2072	John de Aqua Blanca	Principal
HCM 186	John de Aqua Blanca, dean of the church of St, Ethelbert of Hereford	Principal
HCM 758	John de Aqua Blank', dean	Principal
HCM 681	John de Badeschawe	Witness
HCM 290	John de Badeschawe	Witness
HCM 678	John de Badeschawe	Witness
HCM 589	John de Banwelle	Witness
HCM 2581	John de Barewe	Other
HCM 2874	John de Barewe	Other
HCM 2673	John de Barewe	Principal
HCM 3180	John de Barewe	Principal
HCM 2599	John de Barewe	Principal
HCM 1851	John de Barewe	Other
HCM 1439	John de Barewe	Principal
HCM 2464	John de Barewe	Witness
HCM 2676	John de Barewe	Principal
HCM 2714	John de Barewe	Other
HCM 2667	John de Barewe	Principal
HCM 405	John de Bordesleye	Witness
HCM 406	John de Bordesleye	Witness
HCM 2873	John de Braunford	Witness
HCM 203	John de Braunford	Witness
HCM 1610	John de Bristoll	Principal
HCM 2145	John de Bromfeld	Principal
HCM 2667	John de Bromfeld	Principal
HCM 2719	John de Bromfeld', clerk	Principal
HCM 564	John de Brompton	Witness
HCM 2879	John de Brugge	Witness
HCM 2260	John de Bureford	Other
HCM 758	John de Catfeld	Witness
HCM 2876	John de Catfeld	Witness
HCM 1975	John de Cherlton	Other
HCM 2720	John de Clere	Principal
HCM 670	John de Clyntone	Witness
HCM 3162	John de Colonia	Witness
HCM 2581	John de Comberton	Principal
HCM 2576	John de Comberton	Principal
HCM 290	John de Credeleye	Witness
HCM 196	John de Dudeleye	Witness
HCM 2159	John de Fontyton	Other
HCM 680	John de Grene	Witness
HCM 670	John de Gyse called le Butmynges	Other
HCM 559	John de Holeford	Witness
HCM 1247	John de Homptone	Other
HCM 1247	John de Homptone	Witness
HCM 2878	John de Kemes	Other
HCM 1005	John de Kemeseye	Principal
HCM 63	John de Kemeseye	Other
HCM 2159	John de Kemeseye	Witness
HCM 1049	John de Kemeseye	Other
HCM 1024	John de Kemeseye	Other
HCM 2879	John de Kemeseye	Other
HCM 2880	John de Kemeseye	Other
HCM 608	John de Kemesynge	Other
HCM 608	John de Kemesynge	Witness
HCM 405	John de Kemesynge	Witness
HCM 406	John de Kemesynge	Witness
HCM 2579	John de la Barewe	Other
HCM 2576	John de la Barewe	Other
HCM 207	John de la Barewe	Other
HCM 218	John de la Barewe	Witness
HCM 469	John de la Barewe	Other
HCM 608	John de la Barewe	Witness
HCM 1077	John de la Barewe	Other
HCM 174	John de la Barewe	Other
HCM 2713	John de la Barewe	Principal
HCM 2585	John de la Barewe	Other
HCM 2669	John de la Barewe	Principal
HCM 1281	John de la Barewe	Other
HCM 1265	John de la Barewe	Other
HCM 1264	John de la Barewe	Witness
HCM 608	John de la Berne	Other
HCM 608	John de la Berne	Witness
HCM 608	John de la Felde	Witness
HCM 290	John de la Felde	Witness
HCM 290	John de la Hasele	Other
HCM 608	John de la Hulle	Other
HCM 1065	John de la Maudeleyne	Principal
HCM 589	John de la More	Witness
HCM 2873	John de la Pounde	Other
HCM 203	John de la Pounde	Other
HCM 405	John de la Pounde	Other
HCM 2096	John de la Pounde	Other
HCM 219	John de la Sale	Witness
HCM 119	John de Ledeburi	Witness
HCM 2093	John de Ledecote	Other
HCM 1281	John de Logwardyn	Other
HCM 1265	John de Logwardyn	Other
HCM 1264	John de Logwardyn	Witness
HCM 219	John de Luwel	Witness
HCM 1834	John de M'ndene	Other
HCM 2874	John de Maddeleye	Witness
HCM 1489	John de Maddeleye	Witness
HCM 2096	John de Maddeleye	Other
HCM 218	John de Punda	Other
HCM 2464	John de Pyon	Other
HCM 1752	John de Retherwas	Principal
HCM 2159	John de Ros	Witness
HCM 2995	John de Ros	Principal
HCM 2996	John de Ros	Other
HCM 3008	John de Ros	Principal
HCM 3001	John de Ros	Other
HCM 2059	John de Ros	Other
HCM 758	John de Ros, archdeacon of Salop	Principal
HCM 1754	John de Sancto Briavello	Principal
HCM 2260	John de Sandale	Other
HCM 1752	John de Seuenak	Other
HCM 2879	John de Seuenak	Principal
HCM 608	John de Seuenak	Witness
HCM 3155	John de Slindon	Other
HCM 209	John de Straddel	Principal
HCM 2159	John de Swenesfeld	Witness
HCM 2595	John de Swynefeld	Principal
HCM 608	John de Teyntone	Other
HCM 678	John de Turbeuill	Other
HCM 1751	John de Underdoune	Other
HCM 1621	John de Weston	Other
HCM 2597	John de Whitteneye	Principal
HCM 2600	John de Whyteneie	Other
HCM 207	John de Wormbrugg	Witness
HCM 1281	John de Wythynton	Other
HCM 1265	John de Wythynton	Other
HCM 1264	John de Wythynton	Witness
HCM 2722	John de Wytteney	Scribe
HCM 2721	John de Wytteney	Scribe
HCM 2464	John don’ le Graunt	Witness
HCM 174	John Elys	Witness
HCM 2226	John Germeyn	Other
HCM 383	John Gille	Witness
HCM 384	John Gille	Witness
HCM 1851	John Gorewy	Other
HCM 3001	John Helle	Witness
HCM 1417	John Helle	Witness
HCM 670	John in the Felde	Scribe
HCM 678	John Iwayn son of William de Broumia	Principal
HCM 1768	John Iweyn	Principal
HCM 681	John Iweyn	Principal
HCM 1313	John Iweyn	Principal
HCM 1523	John Iweyn	Principal
HCM 1529	John Iweyn	Principal
HCM 1311	John Iweyn	Principal
HCM 678	John Iweyn	Other
HCM 680	John Iweyn	Principal
HCM 287	John le Beyr de Walinton	Witness
HCM 1417	John le Blak	Witness
HCM 119	John le Bole	Scribe
HCM 1281	John le Bole	Witness
HCM 1265	John le Bole	Witness
HCM 1264	John le Bole	Witness
HCM 2151	John le Bretun	Other
HCM 2151	John le Bretun, formerly bishop of Hereford	Other
HCM 186	John le Chapmon	Other
HCM 2873	John le Clerk	Other
HCM 203	John le Clerk' de Bristoll	Other
HCM 352	John le Clerk of Colewell	Witness
HCM 1929	John le fiuz Hugh Hakelute	Other
HCM 946	John le fiz John	Other
HCM 196	John le Gurdlere	Principal
HCM 287	John le leche de Walsned	Principal
HCM 352	John le Mascun	Other
HCM 207	John le Monk	Principal
HCM 1679	John le Panyter	Other
HCM 1746	John le Smyth	Principal
HCM 1768	John le Sopere	Witness
HCM 1523	John le Sopere	Other
HCM 219	John le Werour	Principal
HCM 174	John le Werour	Other
HCM 186	John le Werrour, chaplain	Other
HCM 119	John le Worrour	Other
HCM 2873	John Lightfot	Witness
HCM 90	John Lightfot	Other
HCM 63	John Lightfot	Other
HCM 203	John Lightfot	Other
HCM 203	John Lightfot	Witness
HCM 609	John Lightfot	Other
HCM 1489	John Lightfot	Principal
HCM 405	John Lightfot	Other
HCM 405	John Lightfot	Witness
HCM 406	John Lightfot	Witness
HCM 2096	John Lightfot	Other
HCM 1169	John Lylie	Other
HCM 2096	John Lylie	Other
HCM 2580	John Lythfot	Other
HCM 746	John Lythfot	Witness
HCM 1974	John Lythfot	Witness
HCM 2664	John Lythfot	Principal
HCM 469	John Lythfot	Witness
HCM 746	John Maniword	Witness
HCM 1974	John Monyword	Principal
HCM 469	John Monyword	Witness
HCM 1780	John Nicholas	Other
HCM 700	John Noreman	Other
HCM 2096	John Noreman	Witness
HCM 150	John Ocche de Hereford	Other
HCM 153	John Page	Witness
HCM 119	John Page	Witness
HCM 755	John Penebrugg	Other
HCM 153	John Peres	Witness
HCM 150	John Peres	Witness
HCM 209	John Peres	Witness
HCM 201	John Peres	Witness
HCM 1581	John Polgroyn	Principal
HCM 2874	John Pryde	Witness
HCM 203	John Pryde	Witness
HCM 1974	John Pryde	Witness
HCM 2876	John Pryde	Other
HCM 2876	John Pryde	Witness
HCM 469	John Pryde	Witness
HCM 1169	John Pryde	Other
HCM 1489	John Pryde	Witness
HCM 2096	John Pryde	Other
HCM 2096	John Pryde	Witness
HCM 1313	John Russel	Witness
HCM 1523	Johns	Other
HCM 2093	John son of John the baker	Principal
HCM 608	John son of Roger de Bruneshope de Hereford	Principal
HCM 2873	John son of Roger de Brunsope	Other
HCM 609	John son of Roger de Brunsope	Principal
HCM 2096	John son of Stephen	Witness
HCM 2096	John Spark	Other
HCM 593	John Speed	Other
HCM 63	John Steuenes	Witness
